Format,,ΔfRA,,,Support for restricted sets
0,839,1.25 kHz,24576κ,3168κ,"Type A, Type B"
1,839,1.25 kHz,2⋅24576κ,21024κ,"Type A, Type B"
2,839,1.25 kHz,4⋅24576κ,4688κ,"Type A, Type B"
3,839,5 kHz,4⋅6144κ,3168κ,"Type A, Type B"
