TPMI index i,Intermediate precoder matrix W'
0 – 255,"12W1,i6402×102×102×102×1W1,(i mod 64)1602×102×102×102×1W1,(i mod 16)402×102×102×102×1W1,i mod 4"
256 – 259,"12W2,(i-256)202×202×2W2,i mod 202×202×202×202×2"
260 – 263,"12W2,(i-260)202×202×202×202×2W2,i mod 202×202×2"
264 – 267,"12W2,(i-264)202×202×202×202×202×202×2W2,i mod 2"
268 – 271,"1202×202×2W2,(i-268)202×202×2W2,i mod 202×202×2"
272 – 275,"1202×202×2W2,(i-272)202×202×202×202×2W2,i mod 2"
276 – 279,"1202×202×202×202×2W2,(i-276)202×202×2W2,i mod 2"
