Number of PT-RS groups,Number of samples per PT-RS group,Index  of PT-RS samples in OFDM symbol  prior to transform precodingm
2,2,"where  and sMscPUSCH4+k-1s=1,3k=0,1"
2,4,"where  sMscPUSCH+ks=0andk=0,1,2,3s=1andk=-4,-3,-2,-1"
4,2,"where  and sMscPUSCH8+k-1s=1,3,5,7k=0,1"
4,4,"where sMscPUSCH4+n+ks=0andk=0,1,2,3n=0s=1,2andk=-2,-1,0,1n=MscPUSCH8s=4andk=-4,-3,-2,-1n=0"
8,4,"where  sMscPUSCH8+n+ks=0andk=0,1,2,3n=0s=1,2,3,4,5,6andk=-2,-1,0,1n=MscPUSCH16s=8andk=-4,-3,-2,-1n=0"
