NPUSCH format,,Supported uplink-downlink configurations,,,
1,3.75 kHz,"1, 4",1,16,7
,15 kHz,"1, 2, 3, 4, 5",1,16,
,,,3,8,
,,,6,4,
,,,12,2,
2,3.75 kHz,"1, 4",1,4,
,15 kHz,"1, 2, 3, 4, 5",1,4,
