Conditional presence,Explanation
EDT,The field is mandatory present if cp-EDT or up-EDT in SystemInformationBlockType2 is present; otherwise the field is not present and the UE shall delete any existing value for this field.
EDT-OR,"The field is optionally present, Need OR, if cp-EDT or up-EDT in SystemInformationBlockType2 is present; otherwise the field is not present and the UE shall delete any existing value for this field."
