Index of indicator,Classification
102,Per serving cell
103,Per serving cell
105,All serving cells
106,All serving cells
107,All serving cells
108,All serving cells
109,All serving cells
110,All serving cells
111,SCell
112,PCell
113,Per serving cell
115,PCell
116,Per serving cell
