LocationInfo field descriptions
ellipsoidArcParameter EllipsoidArc defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
ellipsoid-PointParameter Ellipsoid-Point defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
ellipsoidPointWithAltitudeParameter EllipsoidPointWithAltitude defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
ellipsoidPointWithAltitudeAndUncertaintyEllipsoidParameter EllipsoidPointWithAltitudeAndUncertaintyEllipsoid defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
ellipsoidPointWithUncertaintyCircleParameter Ellipsoid-PointWithUncertaintyCircle defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
ellipsoidPointWithUncertaintyEllipseParameter EllipsoidPointWithUncertaintyEllipse defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
gnss-TOD-msecParameter Gnss-TOD-msec defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
horizontalVelocityParameter HorizontalVelocity defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
polygonParameter Polygon defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
verticalVelocityAndUncertaintyParameter verticalVelocityAndUncertainty corresponds to horizontalWithVerticalVelocityAndUncertainty defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
verticalVelocityParameter verticalVelocity corresponds to horizontalWithVerticalVelocity defined in TS 36.355 [54]. The first/leftmost bit of the first octet contains the most significant bit.
