Conditional presence,Explanation
reportCGI,"The field is optional, need OR, in case purpose is included and set to reportCGI; otherwise the field is not present and the UE shall delete any existing value for this field."
a3a4a5,"This field is optional, need OR, in case eventId is set to eventA3 or eventA4 or eventA5; otherwise, this field is not present and the UE shall delete any existing value of this field."
a4a5,"This field is optional, need OR, in case eventId is set to eventA4 or eventA5; otherwise, this field is not present and the UE shall delete any existing value of this field."
