Conditional presence,Explanation
EDT1,"The field is mandatory present if cp-EDT, cp-EDT-5GC, up-EDT or up-EDT-5GC in SystemInformationBlockType2-NB is present; otherwise the field is not present and the UE shall delete any existing value for this field."
EDT2,"The field is optionally present, Need OR, if edt-Parameters is present; otherwise the field is not present and the UE shall delete any existing value for this field."
TDD,This field is mandatory present for TDD; otherwise the field is not present and the UE shall delete any existing value for this field.
