Name,Value,Semantics description,Ver
PDSCH-ConfigDedicated>p-a,dB0,,
PUCCH-ConfigDedicated>tdd-AckNackFeedbackMode>ackNackRepetition,bundlingrelease,Only valid for TDD mode,
PUSCH-ConfigDedicated>betaOffset-ACK-Index>betaOffset-RI-Index>betaOffset-CQI-Index,101215,,
UplinkPowerControlDedicated>p0-UE-PUSCH>deltaMCS-Enabled>accumulationEnabled>p0-UE-PUCCH>pSRS-Offset>filterCoefficient,0en0 (disabled)TRUE07fc4,,
tpc-pdcch-ConfigPUCCH,release,,
tpc-pdcch-ConfigPUSCH,release,,
CQI-ReportConfig>CQI-ReportPeriodic>cqi-ReportModeAperiodic>nomPDSCH-RS-EPRE-Offset,releaseN/AN/A,,
SoundingRS-UL-ConfigDedicated,release,,
AntennaInfoDedicated>transmissionMode>codebookSubsetRestriction>ue-TransmitAntennaSelection,"tm1, tm2N/Arelease","If the number of PBCH antenna ports is one, tm1 is used as default; otherwise tm2 is used as default",
SchedulingRequestConfig,release,,
