q-QualMinRSRQ-OnAllSymbols,q-QualMinWB,"Value of parameter ""Qqualmin"" in TS 36.304 [4]"
Included,Included,q-QualMinRSRQ-OnAllSymbols – (q-QualMin – q-QualMinWB)
Included,Not included,q-QualMinRSRQ-OnAllSymbols
Not included,Included,q-QualMinWB
Not included,Not included,q-QualMin
