UEInformationRequest-NB field descriptions
"anr-ReportReqIndicates whether the UE shall report, if available, ANR measurement information."
"rach-ReportReqIndicates whether the UE shall report, if available, information about the random access procedure."
"rlf-ReportReqIndicates whether the UE shall report, if available, information about radio link failure."
