Name,Value,Semantics description,Ver
RLC configuration CHOICE,am,,
ul-RLC-Config>t-PollRetransmit>pollPDU>pollByte>maxRetxThreshold,ms45infinityinfinityt4,,
dl-RLC-Config>t-Reordering>t-StatusProhibit,ms35ms0,,
Logical channel configuration,,,
priority,3,,
prioritisedBitRate,infinity,,
bucketSizeDuration,N/A,,
logicalChannelGroup,0,,
