Conditional presence,Explanation
NoWUSr15,The field is mandatory present if wus-Config-r15 is not present in SystemInformationBlockType2; otherwise the field is not present.
ProbabilityBased,The field is mandatory present if paging probability based WUS group selection is configured; otherwise the field is not present and the UE shall delete any existing value for this field.
TimeOffset,"The field is optionally present, Need OP, if timeOffset-eDRX-Long is present in timeParameters; otherwise the field is not present, and the UE shall delete any existing value for this field."
