Timer,Start,Stop,At expiry
T300NOTE1,Transmission of RRCConnectionRequest or RRCConnectionResumeRequest or RRCEarlyDataRequest,"Reception of RRCConnectionSetup, RRCConnectionReject or RRCConnectionResume or RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT, cell re-selection and upon abortion of connection establishment by upper layers",Perform the actions as specified in 5.3.3.6
T301NOTE1,Transmission of RRCConnectionReestabilshmentRequest,Reception of RRCConnectionReestablishment or RRCConnectionReestablishmentReject message as well as when the selected cell becomes unsuitable,Go to RRC_IDLE
T302,Reception of RRCConnectionReject while performing RRC connection establishment or reception of RRCConnectionRelease including waitTime,"Upon entering RRC_CONNECTED and upon cell re-selection, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR, or upon reception of RRCConnectionReject message for E-UTRA/5GC.",Inform upper layers about barring alleviation as specified in 5.3.3.7
T303,Access barred while performing RRC connection establishment for mobile originating calls,"Upon entering RRC_CONNECTED and upon cell re-selection, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Inform upper layers about barring alleviation as specified in 5.3.3.7
T304,Reception of RRCConnectionReconfiguration message including the MobilityControl Info orreception of MobilityFromEUTRACommand message including CellChangeOrder or upon conditional reconfiguration execution i.e. when applying a stored RRCConnectionReconfiguration message including the MobilityControl Info.,"Criterion for successful completion of handover within E-UTRA, handover to E-UTRA or cell change order is met (the criterion is specified in the target RAT in case of inter-RAT)","In case of cell change order from E-UTRA or intra E-UTRA handover, initiate the RRC connection re-establishment procedure; In case of handover to E-UTRA, perform the actions defined in the specifications applicable for the source RAT; If any DAPS bearer is configured and if there is no RLF in source PCell, initiate the failure information procedure."
T305,Access barred while performing RRC connection establishment for mobile originating signalling,"Upon entering RRC_CONNECTED and upon cell re-selection, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Inform upper layers about barring alleviation as specified in 5.3.3.7
T306,Access barred while performing RRC connection establishment for mobile originating CS fallback.,"Upon entering RRC_CONNECTED and upon cell re-selection, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Inform upper layers about barring alleviation as specified in 5.3.3.7
T307,Reception of RRCConnectionReconfiguration message including MobilityControlInfoSCG,"Successful completion of random access on the PSCell, upon initiating re-establishment and upon SCG release",Initiate the SCG failure information procedure as specified in 5.6.13.
T308,Access barred due to ACDC while performing RRC connection establishment subject to ACDC,"Upon entering RRC_CONNECTED and upon cell re-selection, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Inform upper layers about barring alleviation for ACDC as specified in 5.3.3.7
T309NOTE1,When access attempt is barred at access barring check for an Access Category. The UE shall maintain one instance of this timer per Access Category.,"Upon entering RRC_CONNECTED, upon cell (re)selection, upon reception of RRCConnectionRelease, upon change of PCell while in RRC_CONNECTED, or upon reception of MobilityFromEUTRACommand.",Perform the actions as specified in 5.3.16.4.
T310NOTE1NOTE2,Upon detecting physical layer problems for the PCell i.e. upon receiving N310 consecutive out-of-sync indications from lower layers,"Upon receiving N311 consecutive in-sync indications from lower layers for the PCell, upon triggering the handover procedure, upon initiating the connection re-establishment procedure, and upon initiating the MCG failure information procedure, upon expiry of t-Service or being out of the current serving cell coverage in discontinuous coverage scenario.",If security is not activated and the UE is not a NB-IoT UE that supports RRC connection re-establishment for the Control Plane CIoT EPS/5GS optimisation: go to RRC_IDLE else: initiate the MCG failure information procedure as specified in 5.6.26 or the connection re-establishment procedure as specified in 5.3.7.
T311NOTE1,Upon initiating the RRC connection re-establishment procedure,Selection of a suitable E-UTRA cell or a cell using another RAT.,Go to RRC_IDLE
T312NOTE2,"Upon triggering a measurement report for a measurement identity for which T312 has been configured and useT312 has been set to true, while T310 is running","Upon receiving N311 consecutive in-sync indications from lower layers, upon triggering the handover procedure, upon initiating the connection re-establishment procedure, upon initiating the MCG failure information procedure, and upon the expiry of T310",Initiate the MCG failure information procedure as specified in 5.6.26 or the connection re-establishment procedure as specified in 5.3.7.
T313NOTE2,Upon detecting physical layer problems for the PSCell i.e. upon receiving N313 consecutive out-of-sync indications from lower layers,"Upon receiving N314 consecutive in-sync indications from lower layers for the PSCell, upon initiating the connection re-establishment procedure, upon SCG release and upon receiving RRCConnectionReconfiguration including MobilityControlInfoSCG",Inform E-UTRAN about the SCG radio link failure by initiating the SCG failure information procedure as specified in 5.6.13.
T314NOTE2,"Upon early detecting physical layer problems for the PCell i.e. upon receiving N310 consecutive ""early-out-of-sync"" indications from lower layers.","Upon receiving N311 consecutive in-sync indications from lower layers for the PCell, upon triggering the handover procedure and upon initiating the connection re-establishment procedure",Initiate the UE Assistance Information procedure to report early detection of physical layer problems in accordance with 5.6.10.
T315NOTE2,"Upon detecting physical layer improvements of the PCell i.e. upon receiving N311 consecutive ""early-in-sync"" indications from lower layers.","Upon receiving N310 consecutive ""early-out-of-sync"" indications from lower layers for the PCell.",Initiate the UE Assistance Information procedure to report detection of physical layer improvements in accordance with 5.6.10.
T316,Upon transmission of the MCGFailureInformation message,"Upon receiving RRCConnectionRelease, RRCConnectionReconfiguration with mobilityControlInfo, MobilityFromEUTRACommand, or upon initiaitng the re-establishment procedure,",Perform the actions as specified in 5.6.26.5.
T317NOTE1,"Start or restart from the subframe indicated by epochTime upon reception of SystemInformationBlockType31 (SystemInformationBlockType31-NB in NB-IoT), or upon reception of RRCConnectionReconfiguration message for the target cell including mobilityControlInfo, or upon conditional reconfiguration execution i.e. when applying a stored RRCConnectionReconfiguration message for the target cell including mobilityControlInfo.","Stop T317, if it is running, for the source cell upon reception of RRCConnectionReconfiguration message including mobilityControlInfo, or upon conditional reconfiguration execution i.e. when applying a stored RRCConnectionReconfiguration message including mobilityControlInfo.",Perform the actions as specified in 5.3.18.
T318NOTE1,Upon starting acquisition of SystemInformationBlockType31 (SystemInformationBlockType31-NB in NB-IoT) in RRC_CONNECTED,"Upon successful acquisition of SystemInformationBlockType31 (SystemInformationBlockType31-NB in NB-IoT) if broadcast, and optionally after successful acquisition of SystemInformationBlockType33 (SystemInformationBlockType33-NB in NB-IoT) if broadcast, in RRC_CONNECTED, as specified in 5.3.18.",If security is not activated and the UE is not a NB-IoT UE that supports RRC connection re-establishment for the Control Plane CIoT EPS optimisation: go to RRC_IDLE else: initiate the connection re-establishment procedure as specified in 5.3.7.
T320,Upon receiving t320 or upon cell (re)selection to E-UTRA from another RAT with validity time configured for dedicated priorities (in which case the remaining validity time is applied).,"Upon entering RRC_CONNECTED, when PLMN selection is performed on request by NAS, when the UE enters RRC_IDLE from RRC_INACTIVE, or upon cell (re)selection to another RAT (in which case the timer is carried on to the other RAT), or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Discard the cell reselection priority information provided by dedicated signalling.
T321,Upon receiving measConfig including a reportConfig with the purpose set to reportCGI,"Upon acquiring the information needed to set all fields of cellGlobalId for the requested cell, upon receiving measConfig that includes removal of the reportConfig with the purpose set to reportCGI and upon detecting that a cell is not broadcasting SIB1.","Initiate the measurement reporting procedure, stop performing the related measurements and remove the corresponding measId"
T322NOTE1,Upon receiving redirectedCarrierOffsetDedicated included in RedirectedCarrierInfo,"Upon entering RRC_CONNECTED, when PLMN selection is performed on request by NAS, or upon cell (re)selection to another frequency or RAT, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Release redirectedCarrierOffsetDedicated.
T323,Upon receiving t323.,"Upon entering RRC_CONNECTED, when PLMN selection is performed on request by NAS, when the UE enters RRC_IDLE from RRC_INACTIVE, or upon cell (re)selection to another RAT, or upon reception of RRCEarlyDataComplete or RRCConnectionRelease for UP-EDT or RRCConnectionRelease for UP transmission using PUR.",Discard the altFreqPriorities provided by dedicated signalling. UE shall apply the cell reselection priority information broadcast in the system information via cellReselectionPriority and cellReselectionSubPriority.
T325,Timer (re)started upon receiving RRCConnectionReject message with deprioritisationTimer.,,Stop deprioritisation of all frequencies or E-UTRA signalled by RRCConnectionReject.
T326NOTE1,"Upon entering RRC_CONNECTED, upon update to NRSRPRef .",Upon leaving RRC_CONNECTED.,Stop performing connected mode neighbour cell measurement.
T330,Upon receiving LoggedMeasurementConfiguration message,"Upon log volume exceeding the suitable UE memory, upon initiating the release of LoggedMeasurementConfiguration procedure",Perform the actions specified in 5.6.6.4
T331,Upon receiving RRCConnectionRelease message including measIdleConfig.,"Upon receiving RRCConnectionSetup, RRCConnectionResume, RRCConnectionRelease with an idle/inactive measurement configuration or indication to release the configuration, if validityArea is configured, upon cell selection/reselection to a cell that does not belong to the validityArea (if configured), or upon reselecting to an inter-RAT cell.",Perform the actions specified in 5.6.20.3.
T340NOTE2,Upon transmitting UEAssistanceInformation message with powerPrefIndication set to normal,Upon releasing powerPrefIndication during the connection re-establishment procedure,No action.
T341NOTE2,Upon transmitting UEAssistanceInformation message with bw-Preference.,Upon resuming an RRC connection or upon releasing bw-Preference during the connection re-establishment procedure,No action.
T342NOTE2,Upon transmitting UEAssistanceInformation message with delayBudgetReport.,Upon releasing delayBudgetReportingConfig during the connection re-establishment and connection resume procedures,No action.
T343NOTE2,Upon transmitting UEAssistanceInformation message with RLM-Report including earlyOutOfSync.,Upon initiating the connection re-establishment procedure,No action.
T344NOTE2,Upon transmitting UEAssistanceInformation message with RLM-Report including earlyInSync.,Upon initiating the connection re-establishment procedure,No action.
T345,Upon transmitting UEAssistanceInformation message with overheatingAssistance,"Upon releasing overheatingAssistance during the connection re-establishment procedure, or connection resume procedure.",No action.
T346,Upon transmitting UEAssistanceInformation message with scg-DeactivationPreference,"Upon releasing scg-DeactivationPreferenceConfig during the RRC connection establishment or re-establishment procedures, or upon reconfiguration of scg-DeactivationPreferenceConfig to release.",No action.
T350,Upon entering RRC_IDLE if t350 has been received in wlan-OffloadInfo.,"Upon entering RRC_CONNECTED, or upon cell reselection.",Perform the actions specified in 5.6.12.4.
T351,Reception of RRCConnectionReconfiguration message including the associationTimer in WLAN-MobilityConfig.,"Upon successful connection to WLAN, upon WLAN connection failure, upon leaving RRC_CONNECTED, upon triggering the handover procedure, or upon initiating the connection re-establishment procedure.",Perform WLAN Connection Status Reporting specified in 5.6.15.2.
T360,Upon performing the redistribution target selection as specified in TS 36.304 [4].,"Upon entering RRC_CONNECTED, upon receiving a Paging message including redistributionIndication; upon reselecting a cell not belonging to the redistribution target.","Stop considering a frequency or cell to be redistribution target, and perform the redistribution target selection if the condition specified in TS 36.304 [4] is met."
T370,Upon receiving SL-DiscConfig including a discSysInfoToReportConfig set to setup.,"Upon initiating the transmission of SidelinkUEInformation including discSysInfoReportFreqList, upon receiving SL-DiscConfig including discSysInfoToReportConfig set to release, upon handover and re-establishment.",Release discSysInfoToReportConfig.
T380,Upon reception of periodic-RNAU-timer in RRCConnectionRelease.,"Upon reception of RRCConnectionResume, RRCConnectionRelease or RRCConnectionSetup.",Initiate the RAN notification area update procedure
T390NOTE1,Upon GNSS validity duration expiry if ul-TransmissionExtensionEnabled is configured.,"Upon leaving RRC_CONNECTED, or upon reception of network triggered GNSS measurement, or upon initiating the connection re-establishment procedure, or upon indication that a new GNSS position becomes valid during available idle periods in RRC_CONNECTED.",Perform the actions as specified in 5.3.3.21.
T395,Access barred while performing RRC connection establishment for disaster roaming in EPS.,"Upon entering RRC_CONNECTED, or upon cell re-selection.",Inform upper layers about barring alleviation for disaster roaming access as specified in 5.3.3.7.
"NOTE1:Only the timers marked with ""NOTE1"" are applicable to NB-IoT.NOTE2:The behaviour as specified in 7.3.2 applies.",,,
