SPUCCH-Config field descriptions
dummyThis field is not used in the specification. If received it shall be ignored by the UE.
"n1SlotSPUCCH-FH-AN-ListResource configuration for slot-SPUCCH format 1 when frequency hopping is enabled. Parameter: for antenna port P0 and for antenna port P1 respectively, see TS 36.213 [23], clause 10.1."
"n1SlotSPUCCH-NoFH-AN-ListResource configuration for slot-SPUCCH format 1 when frequency hopping is disabled. Parameter: for antenna port P0 and for antenna port P1 respectively, see TS 36.213 [23], clause 10.1."
"n1SubslotSPUCCH-AN-ListResource configuration for subslot-SPUCCH format 1. Parameter: for antenna port P0 and for antenna port P1 respectively, see TS 36.213 [23], clause 10.1."
"n3SPUCCH-AN-ListResource index for slot-SPUCCH format 3: , see TS 36.213 [23], clause 10.1."
"n4maxCoderateSlotPUCCH, n4maxCoderateSubslotPUCCHIndicates the maximum coding rate for slot-PUCCH and subslot-PUCCH format 4 transmission."
"n4maxCoderateMultiResourceSlotPUCCH, n4maxCoderateMultiResourceSubslotPUCCHIndicates the maximum coding rate for slot-PUCCH and subslot-PUCCH format 4 transmission in case of multiple resource configuration."
"n4numberOfPRB, n4numberOfPRBSubslotParameter see TS 36.213 [23], Table 10.1.1-2 for determining SPUCCH resource(s) of SPUCCH format 4."
"n4startingPRBParameter see TS 36.211 [21], clause 5.4A.3 for determining SPUCCH resource(s) of SPUCCH format 4."
"twoAntennaPortActivatedSPUCCH-Format1a1bIndicates whether two antenna ports are configured for SPUCCH format 1a/1b for HARQ-ACK, see TS 36.213 [23], clause 10.1. The field also applies for SPUCCH format 1a/1b transmission when format3 is configured, see TS 36.213 [23], clauses 10.1.2.2.2 and 10.1.3.2.2."
"twoAntennaPortActivatedSPUCCH-Format3Indicates whether two antenna ports are configured for SPUCCH format 3 for HARQ-ACK, see TS 36.213 [23], clause 10.1."
