Index of indicator,Classification
1,Per serving cell
2,All serving cells
4,All serving cells
8,PCell
9,PCell
10,PCell
11,PCell
12,PCell
15,PCell
19,PCell
22,PCell
23,PCell
24,PCell
26,PCell
27,PCell
28,PCell
29,PCell
33,PCell
34,PCell
35,PCell
36,PCell
37,PCell
38,PCell
39,PCell
40,PCell
41,PCell
