Abbreviation,Abbreviated word
Comm,Communication
Conf,Confirmation
Config,Configuration
Disc,Discovery
DL,Downlink
Ext,Extension
Freq,Frequency
Id,Identity
Ind,Indication
Info,Information
Meas,Measurement
Neigh,Neighbour(ing)
Param(s),Parameter(s)
Persist,Persistent
Phys,Physical
Proc,Process
Reestab,Reestablishment
Req,Request
Rx,Reception
Sched,Scheduling
Sync,Synchronisation
Thresh,Threshold
Tx/ Transm,Transmission
UL,Uplink
