FDD/TDD,cdma-EUTRA-Synchronisation,synchronousSystemTime,asynchronousSystemTime
FDD,FALSE,Not Recommended,Recommended
FDD,TRUE,Recommended,Recommended
TDD,FALSE,Not Recommended,Recommended
TDD,TRUE,Recommended,Recommended
