Clause,Procedures
5.3.2,Paging
5.3.3,RRC connection establishment
,RRC connection resume (see NOTE)
,CP-EDT
,UP-EDT (see NOTE)
,CP transmission using PUR
,UP transmission using PUR (see NOTE)
5.3.4,Initial security activation (see NOTE)
5.3.5,RRC connection reconfiguration (see NOTE)
5.3.7,RRC connection re-establishment
5.3.8,RRC connection release
5.3.9,RRC connection release requested by upper layers
5.3.10,Radio resource configuration
5.3.11,Radio link failure related actions
5.3.12,UE actions upon leaving RRC_CONNECTED
5.3.13b,Action upon receiving PUR release request
5.3.16,Unified Access Control
