Conditional presence,Explanation
LessThan5MHz,"The field is mandatory present if the NR neighbor cell supports 12 PRB, 15 PRB or 20 PRB transmission bandwidth configuration as defined in TS 38.101-1 [85], TS 38.211 [117] and TS 38.213 [88]. Otherwise, the field is not present and the corresponding Rel-15 field applies."
RSRQ,The field is mandatory present if the threshServingLowQ is present in systemInformationBlockType3; otherwise it is not present.
RSRQ2,The field is optional Need OP if the threshServingLowQ is present in systemInformationBlockType3; otherwise it is not present.
SharedSpectrum,"The field is optional Need OP if NR operates with shared spectrum channel access; otherwise, it is not present."
SharedSpectrum2,"The field is mandatory present if NR operates with shared spectrum channel access; otherwise, it is not present."
