Name,Value,Semantics description,Ver
PDCP configuration,N/A,,
RLC configuration,TM,,
MAC configuration,,Normal MAC headers are used,
Logical channel configuration,,,
priority,1,Highest priority,
prioritisedBitRate,infinity,,
bucketSizeDuration,N/A,,
logicalChannelGroup,0,,
logicalChannelSR-Mask-r9,release,,v920
