Clause,Procedures
5.6.1,DL information transfer
5.6.2,UL information transfer
5.6.3,UE Capability transfer
5.6.5,UE information (see NOTE)
5.6.23,PUR Configuration Request
5.6.24,Neighbour Relation Reporting for SON ANR in NB-IoT
