Parameter,Unit,Value,Comment
Configured deactivated SCell 1,,Cell 3,Configured deactivated secondary cell on NR RF channel number 3 which is an intra-band contiguous CC to PSCC of Cell 2;ssb-PositionInBurst of Cell 3 is same as the one for Cell 2
Configured deactivated SCell 2,,Cell 4,Configured deactivated secondary cell on NR RF channel number 4 which is an inter-band CC to PSCC of Cell 2
Cell 3 timing offset to Cell 2,s,0,
Cell 4 timing offset to Cell 2,s,0,
Time alignment error between Cell 3 and Cell 2,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Time alignment error between cell4 and Cell 2,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,ms,100,"During this time the PSCell shall be known and the SCell configured, but not detected."
T2,s,1,During this time the UE shall activate the SCell 1 and SCell 2.
A2-threshold,dBm,-130,
ReportConfig,,reportConfigId = 0: A2-event-triggeredreportConfig = 1: reportOnScellActivation-r18,
THARQ,ms,Config 1: 2Config 2: 3Config 3: 2.5,"k1NR slot lengthk1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] that will meet the timing constraints of this test case.×"
TCSI_Reporting,ms,15,"the delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214 [26]) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]"
Tuncertainty_RRC,Tuncertainty_RRC,Tuncertainty_RRC,The CSI reporting for SCell being activated is provided during SCell addition.
