Config,Description
1,"LTE FDD(Cell 1), LTE TDD (Cell 3), NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"LTE FDD(Cell 1), LTE TDD (Cell 3), NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"LTE FDD(Cell 1), LTE TDD (Cell 3), NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
4,"LTE TDD(Cell 1), LTE TDD (Cell 3), NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
5,"LTE TDD(Cell 1), LTE TDD (Cell 3), NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
6,"LTE TDD(Cell 1), LTE TDD (Cell 3), NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE: The UE is only required to be tested in one of the supported test configurations,
