ConfigSCell,Description
1,"NR 15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode"
2,"NR 15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode"
3,"NR 30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:A UE which fulfils the requirements in the test case in current clause A.4.5.6.4.2 can skip the test cases in clause A.4.5.6.4.1NOTE 3:The UE is only required to be tested in one with smallest aggregated channel bandwidth from supported band combinations which is composed of CCs ≥ the bandwidth (BWchannel) defined in each test configurationNOTE 4:Test configurations for two NR SCells are chosen independently.,
