Parameter,Unit,Value,Comment
Configured deactivated SCell 1,,Cell 3,Configured deactivated secondary cell on NR RF channel number 3 which is an intra-band contiguous CC to PSCC of Cell 2;ssb-PositionInBurst of Cell 3 is same as the one for Cell 2
Configured deactivated SCell 2,,Cell 4,Configured deactivated secondary cell on NR RF channel number 4 which is an inter-band CC to PSCC of Cell 2
Cell 3 timing offset to Cell 2,s,0,
Cell 4 timing offset to Cell 2,s,0,
Time alignment error between Cell 3 and Cell 2,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Time alignment error between cell4 and Cell 2,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
,,,
,,,
,,,
T1,ms,100,"During this time the PSCell shall be known and the SCell configured, but not detected."
