Parameter,Unit,Test,Cell 2,,Cell 3,
,,configuration,T1,T2,T1,T2
Initial BWP configuration,,"1, 2, 3, 4, 5, 6",DLBWP.0.1 ULBWP.0.1,,-,
Active DL BWP configuration,,"1, 2, 3, 4, 5, 6",DLBWP.1.2,,-,
Active UL BWP configuration,,"1, 2, 3, 4, 5, 6",ULBWP.1.2,,-,
