Config,Description
1,"LTE FDD, NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"LTE TDD, NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
"NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:Target NR Cell 3 has the same SCS, BW and duplex mode as NR serving Cell 2",
