,Field,CLI-RSSIConf.1,CLI-RSSIConf.2
RSSI-,rssi-ResourceId,0,0
Resource,rssi-SCS,15,30
,startPRB,0,0
,nrofPRBs,52,106
,startPosition,3,3
,nrofSymbols,11,11
,rssi-PeriodicityAndOffset,"sl20, 9","sl40, 19"
