Configuration,Description
1,"LTE FDD, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
2,"LTE FDD, NR TDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
3,"LTE FDD, NR TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
4,"LTE TDD, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
5,"LTE TDD, NR TDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
6,"LTE TDD, NR TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
NOTE:The UE is only required to be tested in one of the supported test configurations,
