Parameter,Unit,Test,Value,Comment
,,configuration,Test 1,
Active cell,,"1, 2, 3, 4, 5, 6",E-UTRAN Cell 1 and NR Cell 2,
Neighbour cell,,"1, 2, 3, 4, 5, 6",NR Cell 3,Cell to be identified.
RF Channel Number,,"1, 2, 3, 4, 5, 6",1: Cell 12: Cell 2 and Cell 3,
SMTC configuration,,"1, 4",SMTC.2,
,,"2, 5",SMTC.1,
,,"3, 6",SMTC.1,
A3-Offset,dB,"1, 2, 3, 4, 5, 6",-4.5,
CP length,,"1, 2, 3, 4, 5, 6",Normal,
Hysteresis,dB,"1, 2, 3, 4, 5, 6",0,
Time To Trigger,s,"1, 2, 3, 4, 5, 6",0,
Filter coefficient,,"1, 2, 3, 4, 5, 6",0,L3 filtering is not used
DRX,,"1, 2, 3, 4, 5, 6",DRX.5,
Time offset between PCell and PSCell,s,"1, 2, 3, 4, 5, 6",3,Synchronous EN-DC
Time offset between serving and neighbour cells,s,"1, 4",4.7,The timing of Cell 3 is CP later than the timing of Cell 2.
,,"2, 5",4.7,
,,"3, 6",2.35,
T1,s,"1, 2, 3, 4, 5, 6",5,
T2,s,"1, 2, 3, 4, 5, 6",11,
