Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
"broadcastSCell-r17Indicates whether the UE supports MBS reception via broadcast in RRC_CONNECTED, on one frequency indicated in an MBSInterestIndication message, when an SCell is configured and activated on that frequency, as specified in TS 38.331 [9].NOTE:The UE is not required to receive MBS via broadcast on PCell and SCell simultaneously",FSPC,No,No,No
broadcastNonServingCell-r18Indicates whether the UE supports simultaneous MBS broadcast reception on a non-serving cell on this CC and unicast/multicast reception on other CCs within the same band combination in RRC_CONNECTED.,FSPC,No,N/A,N/A
"channelBW-90mhzIndicates whether the UE supports the channel bandwidth of 90 MHz.For FR1, the UE shall indicate support according to TS 38.101-1 [2], Table 5.3.5-1.",FSPC,CY,N/A,FR1 only
dci-BroadcastWith16Repetitions-r17Indicates whether the UE supports up to 16 times dynamic slot-level repetition for broadcast MTCH.,FSPC,No,No,No
"dynamicMulticastSCell-r17Indicates whether the UE supports to receive group-common PDCCH/PDSCH with CRC scrambled by G-RNTI for SCell on one frequency, when an SCell is configured and activated on that frequency, as specified in TS 38.331 [9].A UE supporting this feature shall also indicate support of dynamicMulticastPCell-r17.NOTE:UE is not expected to be configured simultaneously with more than one component carrier for multicast reception.",FSPC,No,N/A,N/A
fdm-BroadcastUnicast-r17Indicates whether the UE supports overlapping PDSCH reception that one unicast PDSCH and one group-common PDSCH for broadcast in RRC CONNECTED in a slot are partially or fully overlapping in time domain and non-overlapping in frequency domain.A UE supporting this feature shall also support broadcast reception as specified in clause 5.10.,FSPC,No,N/A,N/A
"fdm-MulticastUnicast-r17Indicates whether the UE supports overlapping PDSCH reception that one dynamically scheduled unicast PDSCH and one dynamically scheduled group-common PDSCH for multicast in RRC CONNECTED in a slot are partially or fully overlapping in time domain and non-overlapping in frequency domain.A UE supporting this feature shall also indicate support of dynamicMulticastPCell-r17, or at least one of {ack-NACK-FeedbackForSPS-Multicast-r17, nack-OnlyFeedbackForSPS-Multicast-r17}.NOTE:The UE supporting this feature is not required to support FDMed SPS.",FSPC,No,N/A,N/A
"intraSlotTDM-UnicastGroupCommonPDSCH-r17Indicates whether the UE supports Intra-slot TDM-ed unicast PDSCH and group-common PDSCH. The value indicates that for any two consecutive slots n and n+1, if there are more than 1 broadcast/multicast/unicast PDSCH in either slot, whether to require the minimum time separation (4 OFDM symbols for 30kHz and 7 OFDM symbols for 60kHz) between starting time of any two broadcast/multicast/unicast PDSCHs within the duration of these slots.This feature includes the following functional components:-Supports TDM between one unicast PDSCH and one group-common PDSCH in a slot;-Support TDM between M (M>1) TDMed unicast PDSCHs and one group-common PDSCH in a slot per CC;-Support TDM among N (N>1) group-common PDSCHs in a slot per CC;-Support TDM between K (K>1) TDMed unicast PDSCHs and L (L>1) TDMed group-common PDSCHs in a slot per CC;-The UE maximum number of TDMed PDSCH receptions capability in a slot per CC is kept based on pdsch-ProcessingType1-DifferentTB-PerSlot;-Up to one broadcast PDSCH is supported in a slot.A UE supporting this feature shall support broadcast reception as specified in clause 5.10 and/or indicate support of dynamicMulticastPCell-r17, and shall indicate support of pdsch-ProcessingType1-DifferentTB-PerSlot.NOTE1:Group-common PDSCH(s) are counted as unicast PDSCH(s).NOTE2:The max number of (M+1), N, (K+L) are determined based on the numbers reported by pdsch-ProcessingType1-DifferentTB-PerSlot.",FSPC,No,N/A,N/A
"maxModulationOrderForMulticastDataRateCalculation-r17Defines the maximum modulation order used for maximum data rate calculation for multicast PDSCH in RRC_CONNECTED.-For FR1, up to 1024QAM is supported as maximum modulation order used for maximum data rate calculation for multicast PDSCH, with candidate values {qam256, qam1024}.-For FR2, up to 256QAM is supported as maximum modulation order used for maximum data rate calculation for multicast PDSCH, with candidate values {qam64, qam256}.A UE supporting this feature shall also indicate support of dynamicMulticastPCell-r17.",FSPC,No,N/A,N/A
"maxNumberMIMO-LayersPDSCH, maxNumberMIMO-LayersPDSCH-v1900Defines the maximum number of spatial multiplexing layer(s) supported by the UE for DL reception. For single CC standalone NR, it is mandatory with capability signalling to support at least 4 MIMO layers in the bands where 4Rx is specified as mandatory for the given UE and at least 2 MIMO layers in FR2 (except for FR1-NTN and FR2-NTN). If supportOf2RxXR is indicated, for single CC standalone NR, it is mandatory with capability signalling to support 2 MIMO layers in the bands specified in Table 7.3.2-2b in TS 38.101-1 [2]. If absent, the UE does not support MIMO on this carrier.The maxNumberMIMO-LayersPDSCH-v1900 is only included for FWA UE as defined in TS 38.101-1 [2]. The UE supporting maxNumberMIMO-LayersPDSCH-v1900 shall also indicate support of maxNumberMIMO-LayersPDSCH for the corresponding component carrier. When maxNumberMIMO-LayersPDSCH and maxNumberMIMO-LayersPDSCH-v1900 are reported together for a component carrier, the network which is able to decode maxNumberMIMO-LayersPDSCH-v1900 ignores maxNumberMIMO-LayersPDSCH.For the bands where pdsch-1024QAM-2MIMO-FR1-r17 is indicated, MIMO layers for 1024 QAM is the smaller value between 2 and maxNumberMIMO-LayersPDSCH.",FSPC,CY,N/A,N/A
