Features,Index,Feature group,Components,Additional information
0. General,0-0,NCR procedures,"1) Side control information over MAC CE and RRC, as specified in TS 38.321 [8] and TS 38.331 [9], respectively.2) Switching OFF NCR-Fwd during radio link failure in TS 38.331 [9], beam failure recovery in TS 38.321 [8].",
1. PDCP,1-0,Basic PDCPprocedures,1) (de)Ciphering on SRB2) Integrity protection on SRB4) Re-ordering and in-order delivery6) Duplicate discarding7) 12bits SN,
2. RLC,2-0,Basic RLC procedures,1) RLC TM2) RLC AM with 12bits SN,
,2-4,NR RLC SN size for SRB,NR RLC SN size for SRB,
3. MAC,3-0,Basic MAC procedures,1) RA procedure on PCell2) NCR-MT initiated RA procedure (including for beamrecovery purpose)3) NW initiated RA procedure (i.e. based on PDCCH)4) Support of ssb-Threshold and association betweenpreamble/PRACH occasion and SSB5) Preamble grouping6) UL single TA maintenance7) HARQ operation for DL and UL8) LCH prioritization9) Prioritized bit rate10) Multiplexing11) SR with single SR configuration12) BSR13) PHR14) 8bits and 16bits L field,
9. RRC,9-1,RRC buffer size,Maximum overall RRC configuration size,45 Kbytes
,9-2,RRC processing time,1) RRC connection establishment3) RRC connection reconfiguration without SCelladdition/release and SCGestablishment/modification/release4) RRC connection re-establishment.5) RRC connection reconfiguration with sync procedure8) Initial security activation10) UE capability transfer,1) to 3) 10ms4) 10ms5): 10ms +additional delay(cell search timeandsynchronization)defined in TS38.1338) 5ms10) 80ms
