Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2DIFF
accessStratumReleaseSidelink-r16Indicates the access stratum release for NR sidelink communication the UE supports as specified in TS 38.331 [9].,UE,Yes,No,No
multipathRelayUE-N3C-r18Indicates whether L2 multi-path relay UE operation using non-3GPP connection is supported by the UE.,UE,No,No,No
multipathRemoteUE-ExtN3C-r19Indicates whether L2 multi-path remote UE operation using one or more relay UE(s) via non-3GPP connection is supported by the UE.,UE,No,No,No
multipathRemoteUE-N3C-r18Indicates whether L2 multi-path remote UE operation using non-3GPP connection is supported by the UE.,UE,No,No,No
multipathRemoteUE-PC5L2-r18Indicates whether L2 multi-path remote UE operation using PC5 connection is supported by the UE. A UE supporting this feature shall also indicate support of remoteUE-Operation-L2-r17.,UE,No,No,No
pdcp-DuplicationMoreThanOneUuRLC-r18Indicates whether L2 multi-path remote UE supports PDCP duplication with more than one RLC entity over Uu interface in L2 multi-path relay. A UE supporting this feature shall also indicate support of multipathRemoteUE-PC5L2-r18 or multipathRemoteUE-N3C-r18.,UE,No,No,No
pdcp-CADuplicationDirectpath-DRB-r18Indicates whether L2 multi-path remote UE supports CA-based PDCP duplication over DRB using Uu interface in L2 multi-path relay. A UE supporting this feature shall also indicate support of pdcp-DuplicationMoreThanOneUuRLC-r18.,UE,No,No,No
pdcp-CADuplicationDirectpath-SRB-r18Indicates whether L2 multi-path remote UE supports CA-based PDCP duplication over SRB1/2 using Uu interface in L2 multi-path relay. A UE supporting this feature shall also indicate support of pdcp-DuplicationMoreThanOneUuRLC-r18.,UE,No,No,No
pdcp-DuplicationMP-SplitDRB-r18Indicates whether L2 multi-path remote UE supports PDCP duplication over split DRB in L2 multi-path relay. A UE supporting this feature shall also indicate support of multipathRemoteUE-PC5L2-r18 or multipathRemoteUE-N3C-r18.,UE,No,No,No
pdcp-DuplicationMP-SplitSRB-r18Indicates whether L2 multi-path remote UE supports PDCP duplication over split SRB1/2 in L2 multi-path relay. A UE supporting this feature shall also indicate support of multipathRemoteUE-PC5L2-r18 or multipathRemoteUE-N3C-r18.,UE,No,No,No
directpathRLF-RecoveryViaSRB1-r18Indicates whether L2 multi-path remote UE supports recovery from direct path RLF via split SRB1 using either PC5 connection or non-3GPP connection (if supported) in TS 38.331 [9].,UE,No,No,No
"posSIB-ForwardingSupported-r18Indicates whether the UE, when operating as an NR L2 sidelink relay UE, supports forwarding of posSIBs. The UE capable of operation as an NR L2 sidelink relay UE shall set this field to supported if it is capable of obtaining posSIBs.",UE,CY,No,No
relayUE-MH-OperationL2-r19Indicates whether NR L2 multihop sidelink relay UE operation is supported by the UE. A UE supporting this feature shall also indicate support of relayUE-Operation-L2-r17.,UE,No,No,No
relayUE-Operation-L2-r17Indicates whether NR L2 sidelink relay UE operation is supported by the UE. A UE supporting this feature shall also indicate support of supportedBandCombinationListSL-RelayDiscovery-r17.,UE,No,No,No
relayUE-U2U-OperationL2-r18Indicates whether L2 U2U sidelink relay UE operation is supported by the UE. A UE supporting this feature shall also indicate support of supportedBandCombinationListSL-U2U-RelayDiscovery-r18.,UE,No,No,No
remoteUE-IndirectPathAddChangeToIdleInactiveRelay-r18Indicates whether L2 multi-path remote UE supports indirect path addition or indirect path change with target relay UE in RRC_IDLE or RRC_INACTIVE state. A UE supporting this feature shall also indicate support of multipathRemoteUE-PC5L2-r18 or multipathRemoteUE-N3C-r18.,UE,No,No,No
remoteUE-MH-OperationL2-r19Indicates whether NR L2 multihop sidelink remote UE operation is supported by the UE. A UE supporting this feature shall also indicate support of remoteUE-Operation-L2-r17. A UE acting as the intermediate relay UE also indicates support of this capability.,UE,No,No,No
remoteUE-Operation-L2-r17Indicates whether NR L2 sidelink remote UE operation is supported by the UE. A UE supporting this feature shall also indicate support of supportedBandCombinationListSL-RelayDiscovery-r17.,UE,No,No,No
remoteUE-PathSwitchToIdleInactiveRelay-r17Indicates whether L2 sidelink remote UE supports direct to indirect path switch with target relay in RRC_IDLE or RRC_INACTIVE state. A UE supporting this feature shall also indicate support of remoteUE-Operation-L2-r17.,UE,No,No,No
remoteUE-U2N-PathSwitchOperationL2-r18Indicates whether enhanced NR L2 U2N remote UE operation for intra-gNB path switch and inter-gNB path switch including separate SL-RSRP and SD-RSRP threshold configurations for events X1 and X2 is supported by the UE. A UE supporting this feature shall also indicate support of remoteUE-Operation-L2-r17.,UE,No,No,No
remoteUE-U2U-OperationL2-r18Indicates whether L2 U2U sidelink remote UE operation is supported by the UE. A UE supporting this feature shall also indicate support of supportedBandCombinationListSL-U2U-RelayDiscovery-r18.,UE,No,No,No
"sfn-DFN-OffsetSupported-r18Indicates whether the UE, when operating as an NR L2 sidelink relay UE, supports indication of the offset between SFN and DFN timelines.",UE,No,No,No
"sl-PRS-CommonProcCapabilityPerUE-r18Indicates the common SL-PRS processing capability, and comprises the following parameters:-maxNumOfActiveSL-PRS-Resources-r18: Maximum number of active SL PRS resources across all configured RPs across all bands in a slot assuming maximum SL PRS bandwidth in MHz, which is supported and reported by UE;-maxNumOfSlotswithActiveSL-PRS-Resources-r18: Maximum number of slots with active SL PRS resources across all configured RPs across all bands assuming maximum SL PRS bandwidth in MHz, which is supported and reported by UE.A UE supporting this feature shall also support sl-PRS-CommonProcCapabilityPerBand-r18.",UE,No,No,No
splitDRB-WithUL-BothDirectIndirect-r18Indicates whether L2 multi-path remote UE supports UL PDCP split transmission via both direct path and indirect path for split DRB. A UE supporting this feature shall also indicate support of multipathRemoteUE-PC5L2-r18 or multipathRemoteUE-N3C-r18.,UE,No,No,No
