Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
"eRedCapIgnoreCapabilityFiltering-r18Indicates that the eRedCap UE ignores the capability filtering enquiry and conveys all the supported bands in the appliedFreqBandListFilter, as specified in TS 38.331 [9].A UE indicating this field shall also indicate the support of supportOfERedCap-r18.",UE,No,No,FR1 only
eRedCapNotReducedBB-BW-r18Indicates that the UE is an eRedCap UE without reduced baseband bandwidth in FR1. DL/UL peak data rate of 10 Mbps corresponding to vLayers·Qm·f = 0.75 when vLayers = 1 and vLayers·Qm·f = 0.8 when vLayers = 2.UE supporting this feature shall also indicate the support of supportOfERedCap-r18.,UE,No,No,FR1 only
"supportOfERedCap-r18Indicates that the UE is an eRedCap UE with reduced peak data rate and reduced baseband bandwidth in FR1. This capability comprises of at least the following functional components:The following functional components are the same as for supportOfRedCap-r17:-Maximum FR1 bandwidth is 20 MHz;-Support of RedCap early indication based on Msg1 for 4-step RACH, and MsgA PRACH (if UE indicates the support of twoStepRACH-r16);-Separate initial UL BWP (NOTE-1):-It includes the configuration(s) needed to perform random access-Enabling/disabling of frequency hopping for common PUCCH resources-Separate initial DL BWP (NOTE-1);-It includes CSS/CORESET for random access-For separate initial DL BWP used for paging, CD-SSB is included-For separate initial DL BWP only used for RACH, SSB may or may not be included-For separate initial DL BWP used in connected mode as BWP#0 configuration option 1 (as specified in Annex B2 in TS 38.331 [9]), CD-SSB is included-1 UE-specific RRC configured DL BWP per carrier;-1 UE-specific RRC configured UL BWP per carrier;-UE-specific RRC-configured DL BWP with CD-SSB or NCD-SSB;-NCD-SSB based measurements in RRC-configured DL BWP.The following functional components are new compared to supportOfRedCap-r17:-DL/UL peak data rate of 10 Mbps corresponding to vLayers·Qm·f = 3.2.-If UE supporting this feature also indicates eRedCapNotReducedBB-BW-r18, this component is not applicable.-Maximum number of PDSCH/PUSCH PRBs that can be scheduled/configured for unicast is 25 PRBs for 15 kHz SCS and is 12 PRBs for 30 kHz SCS.-If UE supporting this feature also indicates eRedCapNotReducedBB-BW-r18, this component is not applicable.-Relaxed processing timeline of 1/0.5 ms for 15/30 kHz SCS when the RAR PDSCH and MsgB PDSCH (if supported) is larger than 25/12 PRBs for 15/30 kHz SCS.-If UE supporting this feature also indicates eRedCapNotReducedBB-BW-r18, this component is only applicable during contention based random access.-Network-configurable separate eRedCap early indication in Msg1.-Support of eRedCap early indication based on MsgA PUSCH, if UE indicates the support of twoStepRACH-r16, and Msg3.-Maximum number of Msg4 PDSCH PRBs, which is scheduled by DCI scrambled by a TC-RNTI, that can be decoded and maximum number of Msg 3 PUSCH PRBs and Msg A PUSCH PRBs (if supported), which is scheduled by RAR UL grant or by a DCI scrambled by a TC-RNTI, or is configured for a Type-2 random access procedure, that can be transmitted is 25 PRBs for 15 kHz SCS and is 12 PRBs for 30 kHz SCS.-If UE supporting this feature also indicates eRedCapNotReducedBB-BW-r18, this component is only applicable during contention based random access.An eRedCap UE shall set this field to supported but shall not indicate support of supportOfRedCap-r17.NOTE 1:The Separate initial DL/UL BWP is shared by RedCap UEs and eRedCap UEs when the access of both UEs is allowed and RedCap-specific initial BWP is configured.",UE,CY,No,FR1 only
