Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
cgb-2CW-PUSCH-r18Indicates whether the UE supports CBG based transmission for 2 CWs PUSCH.A UE supporting this feature shall also indicate support of nonCodebook-8TxPUSCH-r18 or codebook-8TxBasic-r18.,FSPC,No,N/A,N/A
"channelBW-90mhzIndicates whether the UE supports the channel bandwidth of 90 MHz.For FR1, the UE shall indicate support according to TS 38.101-1 [2], Table 5.3.5-1.",FSPC,CY,N/A,FR1 only
codebook-3PortPUSCH-TypeB-r19Indicates whether the UE supports codebook based mTRP PUSCH repetition for 3-antenna-port PUSCH transmission with type B. The value indicates the supported number of SRS resources in one SRS resource set.This feature includes the following features:-sequential mapping for repetitions larger than 2.-cyclic mapping for 2 repetitions.-two SRS resource sets with usage set to 'codebook'.A UE supporting this feature shall also indicate support of codebook-3TxPUSCH-SingleTRP-r19 and pusch-RepetitionTypeB-r16.,FSPC,No,N/A,N/A
"codebook-3TxPUSCH-SingleTRP-r19Indicates whether the UE supports codebook based PUSCH transmission for 3TX for single TRP. This capability signalling comprises the following parameters:-maxNumberPUSCH-MIMO-Layer-r19 indicates the maximum number of PUSCH MIMO layers for codebook-based PUSCH;-maxNumberSRS-Resource-r19 indicates the maximum number of 4-port SRS resources per SRS resource set with usage set to 'codebook’ for codebook-based 3Tx PUSCH.The UE supports codebook-based PUSCH transmission with port 1003 disabled when 4 port SRS resources with port 1003 disabled are configured to the UE.NOTE:When 4 port SRS resources with port 1003 disabled are configured to the UE, the number of ports supported by UE for transmission in an SRS resource is 3.",FSPC,No,N/A,N/A
"codebookParameter8TxPUSCH-r18Indicates whether the UE supports codebook-based 8Tx PUSCH.The basic features of 8Tx PUSCH codebook are included in codebook-8TxBasic-r18. This capability signalling comprises the following parameters:-maxNumberPUSCH-MIMO-Layer-r18 defines the maximum number of PUSCH MIMO layers for codebook based PUSCH;-maxNumberSRS-Resource-r18 defines the maximum number of 8 port SRS resources per SRS resource set with usage set to 'codebook' for codebook-based 8Tx PUSCH;-srs-8TxPorts-r18 defines SRS 8 Tx ports codebook. Value 'noTDM' indicates noTDM. Value 'both' indicates TDM and noTDM. This parameter only applies to codebook2-8TxPUSCH-r18, codebook3-8TxPUSCH-r18, and codebook4-8TxPUSCH-r18.A UE that supports codebook-8TxBasic-r18 must support of at least one of codebook1-8TxPUSCH-r18, codebook2-8TxPUSCH-r18, codebook3-8TxPUSCH-r18, and codebook4-8TxPUSCH-r18.-codebook1-8TxPUSCH-r18 comprises the following parameters:-codebookN1N4-r18 indicates whether the UE supports (N1, N2) codebook-based 8Tx PUSCH codebook1. Value ng1n4n1 corresponds to (4,1) codebook, value ng1n2n2 corresponds to (2,2) codebook, value both corresponds to both codebooks;-srs-8TxPorts-r18 defines SRS 8 Tx ports codebook1 codebook. Value 'noTDM' indicates noTDM. Value 'both' indicates TDM and noTDM.-codebook2-8TxPUSCH-r18 indicates whether the UE supports codebook-based 8Tx PUSCH codebook2;-codebook3-8TxPUSCH-r18 indicates whether the UE supports codebook-based 8Tx PUSCH codebook3;-codebook4-8TxPUSCH-r18 indicates whether the UE supports codebook-based 8Tx PUSCH codebook4.The UE optionally indicates ul-FullPwrTransMode0-r18 to indicate whether the UE supports UL full power transmission mode of fullpower when UE is capable of 8 Tx codebook based PUSCH operation.The UE optionally indicates ul-FullPwrTransMode1-r18 to indicate whether the UE supports UL full power transmission mode of fullpowerMode1 when UE is capable of 8 Tx codebook based PUSCH operation.The UE optionally indicates ul-FullPwrTransMode2-r18 to indicate whether the UE supports UL full power transmission mode of fullpowerMode2 when UE is capable of 8 Tx codebook based PUSCH operation. The UE indicates the maximum number of SRS resources in one SRS resource set with usage set to 'codebook' for 8Tx codebook based PUSCH for Mode 2.NOTE 1:A UE that supports ul-FullPwrTransMode2-r18 supports at least full power operation with single port.The UE optionally indicates ul-SRS-TransMode2-r18 to indicate whether the UE supports SRS configurations with different number of antenna ports per SRS resource for Mode 2. The UE indicates a 3-bit bitmap, where the leading / leftmost bit (bit 0) corresponds to whether SRS resource can be configured with 1 port. The next bit (bit 1) corresponds to whether SRS resource can be configured with 2 ports. The rightmost bit (bit 2) corresponds to whether SRS resource can be configured with 4 ports.A UE supporting ul-SRS-TransMode2-r18 shall also indicate support of ul-FullPwrTransMode2.NOTE 2:An SRS resource set supported by the UE for uplink full power Mode 2 must contain at least an 8 port SRS resource.NOTE 3:Any of the above values of ul-SRS-TransMode2-r18 can be used if ul-FullPwrTransMode2-r18 is reported as value n2 or n4.The UE optionally indicates tpmi-FullPwrCodebook2-r18 to indicate which TPMI group(s) delivers full power when UE is capable of and configured with 8 Tx codebook based PUSCH operation with codebook2. Value first indicates the TPMI group corresponding to only the antenna port group 0. Value second indicates the TPMI group corresponding to only the antenna port group 1. Antenna port group is defined in Table 6.3.1.5-8 of TS 38.211 [6].A UE supporting tpmi-FullPwrCodebook2-r18 shall also indicate support of ul-FullPwrTransMode2.",FSPC,No,N/A,N/A
maxNumberMIMO-LayersNonCB-PUSCHDefines supported maximum number of MIMO layers at the UE for PUSCH transmission using non-codebook precoding.A UE supporting non-codebook based PUSCH transmission shall indicate support of maxNumberMIMO-LayersNonCB-PUSCH and mimo-NonCB-PUSCH together.,FSPC,No,N/A,N/A
"mimo-CB-PUSCHIndicates whether the UE supports codebook based PUSCH MIMO Transmission. If supported, it includes 2 parameters as follows:-maxNumberMIMO-LayersCB-PUSCH defines supported maximum number of MIMO layers at the UE for PUSCH transmission with codebook precoding.-maxNumberSRS-ResourcePerSet defines the maximum number of SRS resources per SRS resource set configured for codebook based transmission to the UE.A UE indicating support of this feature shall also indicate support of pusch-TransCoherence.",FSPC,No,N/A,N/A
"mimo-NonCB-PUSCHIndicates whether the UE supports non-codebook based PUSCH MIMO Transmission. If supported, it includes 2 parameters as follows:-maxNumberSimultaneousSRS-ResourceTx defines the maximum number of simultaneous transmitted SRS resources at one symbol for non-codebook based transmission to the UE.-maxNumberSRS-ResourcePerSet defines the maximum number of SRS resources per SRS resource set configured for non-codebook based transmission to the UE.",FSPC,No,N/A,N/A
"mTRP-PUSCH-RepetitionTypeB-r17Indicates whether the UE supports multi-TRP PUSCH repetition for non-codebook based PUSCH repetition type B with sequential mapping for repetitions larger than 2 and cyclic mapping for 2 repetitions by indicating the supported number of SRS resources in one SRS resource set. The UE shall also support two SRS resource sets with usage set to 'nonCodebook'. The UE indicating support of this feature shall also indicate support of maxNumberMIMO-LayersNonCB-PUSCH, mimo-NonCB-PUSCH and pusch-RepetitionTypeB-r16.",FSPC,No,N/A,N/A
mTRP-PUSCH-RepetitionTypeB-3Port-r19Indicates whether the UE supports non-codebook based multi-TRP PUSCH repetition for 3-antenna-port PUSCH transmission with type B. The value indicates the supported number of SRS resources in one SRS resource set.This feature includes the following features:-sequential mapping for repetitions larger than 2.-cyclic mapping for 2 repetitions.-two SRS resource sets with usage set to 'nonCodebook'.A UE supporting this feature shall also indicate support of nonCodebook-3TxPUSCH-SingleTRP-r19 and pusch-RepetitionTypeB-r16.,FSPC,No,N/A,N/A
