Features,Index,Feature group,Components,Additional information
0. General,N/A,IAB procedures,"1) Routing using BAP protocol, as specified in TS 38.340 [23]2) Bearer mapping using BAP protocol, as specified in TS 38.340 [23]3) IAB-node IP address signalling over RRC, as specified in TS 38.331 [9]",
1. PDCP,1-0,Basic PDCP procedures,1) (de)Ciphering on SRB2) Integrity protection on SRB3) Timer based SDU discard4) Re-ordering and in-order delivery6) Duplicate discarding7) 18bits SN,
2. RLC,2-0,Basic RLC procedures,1) RLC TM2) RLC AM with 18bits SN3) SDU discard,
,2-4,NR RLC SN size for SRB,NR RLC SN size for SRB,
3. MAC,3-0,Basic MAC procedures,1) RA procedure on PCell2) IAB-MT initiated RA procedure (including for beam recovery purpose)3) NW initiated RA procedure (i.e. based on PDCCH)4) Support of ssb-Threshold and association between preamble/PRACH occasion and SSB5) Preamble grouping6) UL single TA maintenance7) HARQ operation for DL and UL8) LCH prioritization9) Prioritized bit rate10) Multiplexing11) SR with single SR configuration12) BSR13) PHR14) 8bits and 16bits L field,
9. RRC,9-1,RRC buffer size,Maximum overall RRC configuration size,45 Kbytes
,9-2,RRC processing time,1) RRC connection establishment2) RRC connection resume without SCell addition/release and SCG establishment/modification/release3) RRC connection reconfiguration without SCell addition/release and SCG establishment/modification/release4) RRC connection re-establishment.5) RRC connection reconfiguration with sync procedure6) RRC connection reconfiguration with SCell addition/release or SCG establishment/modification/release7) RRC connection resume8) Initial security activation9) Counter check10) UE capability transfer,"1) to 3) 10ms4) 10ms5): 10ms + additional delay (cell search time and synchronization) defined in TS 38.1336) and 7) 16ms7) 10 or 6ms(See details in clause 12, TS 38.331)8) and 9) 5ms10) 80ms"
