Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
"additionalTime-CB-8TxPUSCH-r18Indicates whether the UE supports 8Tx PUSCH additional timeline for codebook based 8TxPUSCH.A UE supporting this feature shall also indicate support of codebook-8TxBasic-r18.NOTE:UE reports the processing capability independently for each SCS in unit of symbols, where SCS is the minimum between SCS of the scheduling DCI and SCS of the scheduled PUSCH. This capability is reported by UE only when UE reports {5,6,7,8} as the maximum number of PUSCH MIMO layers.",FS,No,N/A,N/A
"additionalTime-NonCB-8TxPUSCH-r18Indicates whether the UE supports 8Tx PUSCH additional timeline for non-codebook based 8TxPUSCH.A UE supporting this feature shall also indicate support of nonCodebook-8TxPUSCH-r18.NOTE:UE reports the processing capability independently for each SCS in unit of symbols, where SCS is the minimum between SCS of the scheduling DCI and SCS of the scheduled PUSCH. This capability is reported by UE only when UE reports {5,6,7,8} as the maximum number of PUSCH MIMO layers.",FS,No,N/A,N/A
"scalingFactorIndicates the scaling factor to be applied to the band in the max data rate calculation as defined in 4.1.2. Value f0p4 indicates the scaling factor 0.4, f0p75 indicates 0.75, and so on. If absent, the scaling factor 1 is applied to the band in the max data rate calculation.",FS,No,N/A,N/A
cbgPUSCH-ProcessingType1-DifferentTB-PerSlot-r16Defines whether the UE capable of processing time capability 1 supports CBG based transmission with one or with up to two or with up to four or with up to seven unicast PUSCHs per slot per CC.,FS,No,N/A,N/A
cbgPUSCH-ProcessingType2-DifferentTB-PerSlot-r16Defines whether the UE capable of processing time capability 2 supports CBG based transmission with one or with up to two or with up to four or with up to seven unicast PUSCHs per slot per CC.,FS,No,N/A,N/A
"crossCarrierSchedulingProcessing-DiffSCS-r16Indicates the UE cross carrier scheduling processing capability for UL carrier aggregation processing up to X unicast DCI scheduling for UL per scheduled CC. X is based on pair of (scheduling CC SCS, scheduled CC SCS) where a pair of (15,120), (15,60), (30,120) kHz SCS can have X = {1,2,4} while a pair of (15,30), (30,60), (60,120) kHz SCS can have X = {2}, and X applies per slot of scheduling CC.",FS,No,N/A,N/A
dynamicSwitchSULIndicates whether the UE supports supplemental uplink with dynamic switch (DCI based selection of PUSCH carrier). The UE supports this among a carrier on a band X and a band Y if it sets this capability parameter for both band X and band Y.,FS,No,N/A,N/A
extendedDC-LocationReport-r17Indicates whether the UE supports extended DC location reporting (based on indicated default DC location) for at least 2 UL CCs in one band. A UE that supports this feature also supports extended DC location reporting for 1 UL CC in one band.,FS,No,N/A,N/A
"featureSetListPerUplinkCCIndicates which features the UE supports on the individual UL carriers of the feature set (and hence of a band entry that refer to the feature set) by FeatureSetUplinkPerCC-Id. The order of the elements in this list is not relevant, i.e., the network may configure any of the carriers in accordance with any of the FeatureSetUplinkPerCC-Id in this list. A fallback per CC feature set resulting from the reported feature set per UL CC is not signalled but the UE shall support it.",FS,N/A,N/A,N/A
"interSubslotFreqHopping-PUCCH-r17Indicates whether the UE supports inter-subslot frequency hopping for PUCCH repetitions comprised of the following functional components:-Inter-subslot frequency hopping for PUCCH repetition operation of PUCCH Formats 0, 1, 2, 3 and 4 for 7OS slot-based PUCCH configurations;-Inter-subslot frequency hopping for PUCCH repetition operation of PUCCH Format 0 and Format 2 for 2OS slot-based PUCCH configurations.The UE indicating support of this feature shall also indicate the support of pucch-Repetition-F0-1-2-3-4-RRC-Config-r17.",FS,No,N/A,N/A
"intraBandFreqSeparationUL, intraBandFreqSeparationUL-v1620Indicates UL frequency separation class the UE supports, which indicates a maximum frequency separation between lower edge of lowest CC and upper edge of highest CC in a frequency band, for intra-band non-contiguous CA. The UE sets the same value in the FeatureSetUplink of each band entry within a band. The values mhzX corresponds to the values XMHz defined in TS 38.101-2 [3]. It is mandatory to report for UE which supports UL non-contiguous CA in FR2.If the UE sets the field intraBandFreqSeparationUL-v1620 it shall set intraBandFreqSeparationUL (without suffix) to the nearest smaller value.",FS,CY,N/A,FR2 only
intraFreqDAPS-UL-r16Indicates whether UE supports enhanced uplink capabilities for intra-frequency DAPS handover. The UE only includes this capability signalling if intraFreqDAPS-r16 is included in the FeatureSetDownlink for the same FeatureSet. The capability signalling comprises of the following parameter:-intraFreqTwoTAGs-DAPS-r16 indicates whether the UE supports different timing advance groups in source PCell and intra-frequency target PCell. It is mandatory with capability signalling.,FS,No,N/A,N/A
"maxDelayValueBeyondD-Basic-r18Indicates whether the UE supports maximum delay value larger than D_basic =1 slot. Value sl2 denotes 2 slots, value sl3 denotes 3 slots, value sl4 denotes 4 slots, value sl5 denotes 5 slots, value sl6 denotes 6 slots, value sl10 denotes 10 slots.A UE supporting this feature shall also indicate support of tdcp-Report-r18.NOTE:10 slots is only applicable for SCS >= 30 kHz, and 6 slots is maximum for SCS = 15 kHz.",FS,No,N/A,N/A
"maxNumberTDCP-PerBWP-r18Indicates the maximum number of CSI-ReportConfig with reportQuantity configured as ""tdcp"", configured with resourcesForChannelMeasurement linked to a same BWP ID.A UE supporting this feature shall also indicate support of tdcp-Report-r18.",FS,No,N/A,N/A
