UE-NR-Capability,Classification
activeConfiguredGrant-r16,Triggered serving cell
aperiodicTRS,Triggered serving cell
"beamSwitchTiming, beamSwitchTiming-r16",Triggered serving cell
bwp-DiffNumerology (NOTE 1),Triggering&Triggered serving cells
bwp-SameNumerology (NOTE 1),Triggering&Triggered serving cells
crossCarrierScheduling-SameSCS,Triggering&Triggered serving cells
crossCarrierSchedulingProcessing-DiffSCS-r16 (NOTE 2),Triggering&Triggered serving cells
dynamicSFI-r16,Triggering&Triggered serving cells
jointReleaseConfiguredGrantType2-r16,Triggered serving cell
jointReleaseDCI-r18,Triggered serving cell
jointReleaseSPS-r16,Triggered serving cell
multiPUSCH-ActiveConfiguredGrant-r18,Triggered serving cell
pdcch-MonitoringAnyOccasionsWithSpanGap (NOTE 3),Triggering&Triggered serving cells
sps-r16,Triggered serving cell
ue-SpecificUL-DL-Assignment,Triggering&Triggered serving cells
ul-CancellationCrossCarrier-r16,Triggering&Triggered serving cells
"NOTE 1:For bwp-DiffNumerology and bwp-SameNumerology, the supported number of BWPs for each band is still based on the indicated number for this band regardless of whether it is a scheduling cell or scheduled cell.NOTE 2:For crossCarrierSchedulingProcessing-DiffSCS-r16, if reported value is different between the band of the scheduled/triggered/indicated cell and the band of the scheduling/triggering/indicating cell, the value reported for the scheduling/triggering/indicating cell is applied.NOTE 3:Applicable for cross carrier scheduling with the same SCS in the scheduling cell and the scheduled cell. If the reported value is different between the band of the scheduled/triggered/indicated cell and the band of the scheduling/triggering/indicating cell, the value reported for the scheduling/triggering/indicating cell is applied.",
