Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
"asyncIntraBandENDCIndicates whether the UE supports asynchronous FDD-FDD intra-band (NG)EN-DC and asynchronous FDD-FDD inter-band (NG)EN-DC/NE-DC where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band, with MRTD and MTTD as specified in clause 7.5 and 7.6 of TS 38.133 [5]. If asynchronous FDD-FDD intra-band (NG)EN-DC is not supported, the UE supports only synchronous FDD-FDD intra-band (NG)EN-DC. For FDD-FDD inter-band (NG)EN-DC/NE-DC combination where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band, if this capability is not supported, the MRTD and MTTD requirements indicated by interBandMRDC-WithOverlapDL-Bands-r16 apply.This capability applies to:-Intra-band (NG)EN-DC combination without additional inter-band NR and LTE CA component;-Intra-band (NG)EN-DC combination supporting both UL and DL intra-band (NG)EN-DC parts with additional inter-band NR/LTE CA component;-Intra-band (NG)EN-DC combination without supporting UL in both the bands of the intra-band (NG)EN-DC UL part;-Inter-band (NG)EN-DC/NE-DC combination, where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band (as specified in Table 5.5B.4.1-1 of TS 38.101-3 [4]).If this capability is included in an ""Intra-band (NG)EN-DC combination supporting both UL and DL intra-band (NG)EN-DC parts with additional inter-band NR/LTE CA component"" or in an ""Intra-band (NG)EN-DC combination without supporting UL in both the bands of the intra-band (NG)EN-DC UL part"", this capability applies to the intra-band (NG)EN-DC BC part.",BC,No,FDD only,FR1 only
condPSCellAdditionENDC-r17Indicates whether the UE supports conditional PSCell addition in EN-DC. The UE supporting this feature shall also support 2 trigger events for same execution condition in conditional PSCell addition in EN-DC.,BC,No,N/A,N/A
"dualPA-ArchitectureFor an intra-band band combination, this field indicates the support of dual PAs. If absent in an intra-band band combination, the UE supports single PA for all the ULs in the intra-band band combination. For other band combinations, this field is not applicable.This capability applies to:-Intra-band (NG)EN-DC/NE-DC combination without additional inter-band NR and LTE CA component;-Intra-band (NG)EN-DC/NE-DC combination supporting both UL and DL intra-band (NG)EN-DC/NE-DC parts with additional inter-band NR/LTE CA component;-Inter-band (NG)EN-DC/NE-DC combination, where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band (as specified in Table 5.5B.4.1-1 of TS 38.101-3 [4]).If this capability is included in an ""Intra-band (NG)EN-DC/NE-DC combination supporting both UL and DL intra-band (NG)EN-DC/NE-DC parts with additional inter-band NR/LTE CA component"", this capability applies to the intra-band (NG)EN-DC/NE-DC BC part.",BC,No,N/A,N/A
"dynamicPowerSharingENDCIndicates whether the UE supports dynamic (NG)EN-DC power sharing between NR FR1 carriers and the LTE carriers. If the UE supports this capability the UE supports the dynamic power sharing behaviour as specified in clause 7 of TS 38.213 [11]. In this release of the specification, the UE supporting (NG)EN-DC shall set this field to supported.",BC,Yes,N/A,FR1 only
"dynamicPowerSharingNEDCIndicates whether the UE supports dynamic NE-DC power sharing between NR FR1 carriers and the LTE carriers. If the UE supports this capability, the UE supports the dynamic power sharing behavior as specified in clause 7 of TS 38.213 [11].",BC,Yes,N/A,FR1 only
higherPowerLimitMRDC-r17Indicates whether UE supports increase in maximum output power above the power class indication for inter-band UL (NG)EN-DC band combinations as defined in clause 6.2B of TS 38.101-3 [4].,BC,No,N/A,FR1 only
"intraBandENDC-NominalSpacing-r18Indicates whether the UE supports intra-band non-contiguous (NG)EN-DC with nominal channel spacing as defined in clause 5.4B.1 in the TS 38.101-3[4].If the band combination supports intra-band (NG)EN-DC only in DL, this field indicates the DL capability. If the band combination supports intra-band (NG)EN-DC in DL and UL, the field indicates the common capability for both DL and UL.The UE indicating support of this field shall indicate support of ""non-contiguous"" in intrabandENDC-Support and shall not indicate intrabandENDC-Support-UL.",BC,No,N/A,N/A
"intraBandENDC-SupportIndicates whether the UE supports intra-band (NG)EN-DC with only non-contiguous spectrum, or with both contiguous and non-contiguous spectrum for the (NG)EN-DC combination as specified in TS 38.101-3 [4].If the UE does not include this field for an intra-band (NG)EN-DC combination, the UE only supports the contiguous spectrum for all the intra-band (NG)EN-DC component(s) in the inter-band (NG)EN-DC band combination.If intrabandENDC-Support-UL is absent and the band combination supports intra-band (NG)EN-DC only in DL, this field indicates the DL capability. If intrabandENDC-Support-UL is absent and the band combination supports intra-band (NG)EN-DC in DL and UL, this field indicates the common capability for both DL and UL. If intrabandENDC-Support-UL is included, intraBandENDC-Support indicates the DL capability.For the inter-band (NG)EN-DC band combination with multiple intra-band (NG)EN-DC components as defined in clause 5.5B in the TS 38.101-3 [4]:-This field is applicable only if the UE supports the same spectrum contiguity capability in DL for all the intra-band (NG)EN-DC components.-If the UE supports different spectrum contiguity capabilities for the intra-band (NG)EN-DC components, the UE shall not include this field.",BC,No,N/A,N/A
"intrabandENDC-Support-ULIndicates whether the UE supports intra-band (NG)EN-DC in UL with only non-contiguous spectrum, or with both contiguous and non-contiguous spectrum for the intra-band (NG)EN-DC combination as specified in TS 38.101-3 [4]. The UE includes this field only if the UE supports different UL and DL capabilities for the intra-band (NG)EN-DC band combination.When 'both' is indicated in intrabandENDC-Support and in intraBandENDC-Support-UL, the UE supports the following three cases of intra-band (NG)EN-DC: contiguous DL/contiguous UL, non-contiguous DL/non-contiguous UL, contiguous DL/non-contiguous UL.For the inter-band (NG)EN-DC band combination with multiple intra-band (NG)EN-DC components as defined in clause 5.5B in the TS 38.101-3 [4]:-This field is applicable only if the UE supports the same spectrum contiguity capability in UL for all the intra-band (NG)EN-DC components.-If the UE supports different spectrum contiguity capabilities in UL for the intra-band (NG)EN-DC components, the UE shall not include this field.",BC,No,N/A,N/A
"intrabandENDC-Support-UL-v1790Indicates whether the UE supports intra-band (NG)EN-DC in UL with only non-contiguous spectrum, or with both contiguous and non-contiguous spectrum for the corresponding intra-band (NG)EN-DC component within the inter-band (NG)EN-DC band combination with multiple intra-band (NG)EN-DC components as defined in clause 5.5B in the TS 38.101-3 [4].The UE includes this field only if the UE supports different UL and DL capabilities for the corresponding intra-band (NG)EN-DC component.When 'both' is indicated in intrabandENDC-Support-v1790 and in intraBandENDC-Support-UL-v1790, the UE supports the following three cases of intra-band (NG)EN-DC: contiguous DL/contiguous UL, non-contiguous DL/non-contiguous UL, contiguous DL/non-contiguous UL for the corresponding intra-band (NG)EN-DC component.",BC,No,N/A,N/A
"intrabandENDC-Support-v1790Indicates whether the UE supports only non-contiguous spectrum, or with both contiguous and non-contiguous spectrum for the corresponding intra-band (NG)EN-DC component within the inter-band (NG)EN-DC band combination with multiple intra-band (NG)EN-DC components as defined in clause 5.5B in the TS 38.101-3 [4].If the UE does not include this field, the UE only supports the contiguous spectrum for the corresponding intra-band (NG)EN-DC component.If intrabandENDC-Support-UL-v1790 is absent for the corresponding intra-band (NG)EN-DC component and the corresponding intra-band (NG)EN-DC component supports DL only, this field indicates the DL capability for the corresponding intra-band (NG)EN-DC component. If intrabandENDC-Support-UL-v1790 is absent for the corresponding intra-band (NG)EN-DC component and the corresponding intra-band (NG)EN-DC component supports DL and UL, this field indicates the common capability for both DL and UL for the corresponding intra-band (NG)EN-DC component. If intrabandENDC-Support-UL-v1790 is included for the corresponding intra-band (NG)EN-DC component, intraBandENDC-Support-v1790 indicates the DL capability for the corresponding intra-band (NG)EN-DC component.",BC,No,N/A,N/A
"interBandContiguousMRDCIndicates for an inter-band (NG)EN-DC/NE-DC combination, where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band (as specified in Table 5.5B.4.1-1 of TS 38.101-3 [4]), that the UE supports intra-band contiguous (NG)EN-DC/NE-DC requirements (see TS 38.101-3 [4]). If the field is absent for such an inter-band (NG)EN-DC/NE-DC combination, the UE supports intra-band non-contiguous (NG)EN-DC/NE-DC requirements.",BC,CY,N/A,N/A
"interBandMRDC-WithOverlapDL-Bands-r16Indicates whether the UE supports FDD-FDD or TDD-TDD inter-band (NG)EN-DC/NE-DC operation with overlapping or partially overlapping DL bands with an (NG)EN-DC MTTD/MRTD according to clause 7.5.2/7.6.2 in TS 38.133 [5] and NE-DC MTTD/MRTD according to clause 7.5.5/7.6.5 in TS 38.133 [5] and inter-band RF requirements (i.e. Type 2 UE). If the capability is not reported, the UE supports FDD-FDD or TDD-TDD inter-band operation with overlapping or partially overlapping DL bands with (NG)EN-DC/NE-DC MTTD/MRTD according to clause 7.5.3/7.6.3 in TS 38.133 [5] and intra-band RF requirements (i.e. Type 1 UE).",BC,No,N/A,FR1 only
"interBandMRDC-WithOverlapDL-Bands-r19Indicates whether the UE supports TDD-TDD inter-band (NG)EN-DC operation with overlapping or partially overlapping DL bands with an (NG)EN-DC MTTD/MRTD according to Table 7.5.2.1-1/Table 7.6.2.1-1 in TS 38.133 [5] and inter-band UE RF requirements for inter-band EN-DC including 7.10B in TS38.101-3 [4] (i.e., Type 4 UE). Type 4 supported UE shall also meet Type 1 UE requirements which are TDD-TDD inter-band operation with overlapping or partially overlapping DL bands with (NG)EN-DC MTTD/MRTD according to Table 7.6.3 in TS 38.133 [5] and inter-band UE RF requirements excluding 7.10B in TS38.101-3 [4] (i.e., Type 1 UE). If the capability is not reported, the UE supports the Type 1 UE requirements.A UE supporting this feature shall also indicate support of requirementTypeIndication-r18.A UE supporting this feature shall also support network controlled indication of MTTD/MRTD and RF requirements by nonCollocatedTypeMRDC-v1900 for inter-band non-collocated MRDC, as defined in TS 38.331 [9].The UE is allowed to indicate this capability for the band combination with more than 1 NR CC on the corresponding NR band (i.e. the NR band that overlaps with EUTRA band), but this capability is only applicable to the fallback band combination with only single CC on that NR band.",BC,No,N/A,FR1 only
"maxUplinkDutyCycle-interBandENDC-FDD-TDD-PC2-r16Indicates the maximum percentage of symbols during a certain evaluation period that can be scheduled for NR uplink transmission and EUTRA FDD uplink transmission so as to ensure compliance with applicable electromagnetic energy absorption requirements provided by regulatory bodies. This field is only applicable for inter-band FDD+TDD EN-DC power class 2 UE as specified in TS 38.101-3 [4]. This capability signalling comprises of maxUplinkDutyCycle-FDD-TDD-EN-DC1 and maxUplinkDutyCycle-FDD-TDD-EN-DC2 which indicate the maxUplinkDutyCycle capability of NR band corresponding to different LTE reference configurations as described in TS 38.101-3 [4], clause 6.2B.1.3. Value n30 corresponds to 30%, value n40 corresponds to 40% and so on.",BC,No,N/A,FR1 only
"maxUplinkDutyCycle-interBandENDC-TDD-PC2-r16Indicates the maximum percentage of symbols during a certain evaluation period that can be scheduled for NR uplink transmission under different EUTRA TDD uplink-downlink configurations so as to ensure compliance with applicable electromagnetic energy absorption requirements provided by regulatory bodies. This field is only applicable for inter-band TDD+TDD EN-DC power class 2 UE as specified in TS 38.101-3 [4]. If the field is absent, 30% for NR uplink transmission shall be applied to all EUTRA TDD uplink-downlink configurations. If eutra-TDD-Configx is absent, 30% for NR uplink transmission shall be applied to the corresponding EUTRA TDD uplink-downlink configuration.Value n20 corresponds to 20%, value n40 corresponds to 40% and so on.",BC,No,TDD only,FR1 only
"scg-ActivationDeactivationENDC-r17Indicates whether the UE supports activation (with or without RACH) and deactivation on SCG in EN-DC, upon SCG addition and upon reconfiguration of the SCG, as specified in TS 38.331 [9]. A UE supporting this feature shall indicate support of EN-DC as specified in TS 36.331 [17]. For the UE supporting this feature, it is mandatory to report maxNumberCSI-RS-BFD and maxNumberSSB-BFD for all NR bands of this band combination where the UE supports SpCell.",BC,No,N/A,N/A
"scg-ActivationDeactivationResumeENDC-r17Indicates whether the UE supports activation (with or without RACH) and deactivation on SCG in EN-DC, upon reception of an RRCReconfiguration included in an RRCConnectionResume message, as specified in TS 38.331 [9] and TS 36.331 [17], A UE supporting this feature shall indicate support of EN-DC and support of resumeWithSCG-Config-r16 as specified in TS 36.331 [17]. For the UE supporting this feature, it is mandatory to report maxNumberCSI-RS-BFD and maxNumberSSB-BFD for all NR bands of this band combination where the UE supports SpCell.",BC,No,N/A,N/A
"simultaneousRxTxInterBandENDCIndicates whether the UE supports simultaneous transmission and reception in TDD-TDD, TDD-FDD and TDD-SDL inter-band (NG)EN-DC/NE-DC. It is mandatory for certain TDD-FDD, TDD-TDD and TDD-SDL band combinations defined in TS 38.101-3 [4].This capability does not apply to the following components within TDD-TDD, TDD-FDD and TDD-SDL inter-band (NG)EN-DC/NE-DC combination:-Intra-band (NG)EN-DC/NE-DC component-Inter-band (NG)EN-DC/NE-DC component where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band (as specified in Table 5.5B.4.1-1 of TS 38.101-3 [4]).",BC,CY,N/A,N/A
"simultaneousRxTxInterBandENDCPerBandPairIndicates whether the UE supports simultaneous transmission and reception for each band pair in the band combination containing at least:-TDD-TDD inter-band (NG)EN-DC/NE-DC component;-TDD-FDD inter-band (NG)EN-DC/NE-DC component;-TDD-SDL inter-band (NG)EN-DC/NE-DC component.Encoded in the same manner as simultaneousRxTxInterBandCAPerBandPair.The UE does not include this field if the UE supports simultaneous transmission and reception for all applicable band pairs in the band combination (in which case simultaneousRxTxInterBandENDC is included) or does not support for any band pair in the band combination. It is mandatory for certain band pairs as specified in TS 38.101-3 [4]. The UE shall consistently set the bits which correspond to the same band pair.Each bit of the capability only applies to TDD-TDD, TDD-FDD and TDD-SDL Inter-band (NG)EN-DC/NE-DC band pairs, except for the band pairs where the frequency range of the E-UTRA band is a subset of the frequency range of the NR band (as specified in Table 5.5B.4.1-1 of TS 38.101-3 [4]).",BC,CY,N/A,N/A
singleUL-HARQ-offsetTDD-PCell-r16Indicate support of HARQ offset for single UL transmission in synchronous (NG)EN-DC with LTE TDD PCell. UE indicates support of this feature shall indicate support of tdm-restrictionTDD-endc-r16.,BC,No,N/A,N/A
"singleUL-TransmissionIndicates that the UE does not support simultaneous UL transmissions as defined in TS 38.101-3 [4]. The UE may only include this field for certain band combinations defined in TS 38.101-3 [4]. If included for a particular band combination, the field applies to all fallback band combinations of this band combination that are defined in TS 38.101-3 [4] as being allowed to include this field and does not apply to any other fallback band combinations defined in TS 38.101-3 [4].The UE shall include this field for band combinations containing a band pair for which single UL transmission is the only specified operation mode in TS 38.101-3 [4] and if the UE supports UL on both bands. Otherwise, this feature is optional.",BC,FD,N/A,N/A
