Descriptions for parameters,Per,M,FDD-TDD DIFF
"gnb-ScheduledMode3SidelinkEUTRA-r16Indicates whether transmitting V2X sidelink communication mode 3 scheduled by NR Uu is supported. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-the UE can be scheduled by gNB using DCI format 3_1 for V2X sidelink mode 3 transmission.-gnb-ScheduledMode3DelaySidelinkEUTRA, which indicates the minimum value UE supports for the additional time indicated in the NR DCI scheduling V2X sidelink mode 3. Value ms0 corresponds to 0 ms, ms0dot25 corresponds to 0.25 ms, and so on.This field is only applicable if the UE supports V2X sidelink communication.",Band,No,N/A
gnb-ScheduledMode4SidelinkEUTRA-r16Indicates whether the UE can be scheduled by gNB for V2X sidelink mode 4 transmission. This field is only applicable if the UE supports V2X sidelink communication.,Band,No,N/A
