Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
"congestionControlSidelink-r16Indicates whether UE supports sidelink congestion control for NR sidelink. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-cbr-ReportSidelink, which indicates whether UE can report CBR measurement to gNB when operating in Mode 1 and mode 2, if the band is indicated with only the PC5 interface in TS 38.101-1 [2], Table 5.2E.1-1. Otherwise, it is mandatory.-UE can adjust its radio parameters based on CBR measurement and CRlimit.-cbr-CR-TimeLimitSidelink, which indicates the time within which UE can process CBR and CR. Value time1 corresponds to congestion process time of 2, 2, 4, 8 slots for 15, 30, 60, 120 kHz subcarrier spacing, and value time2 corresponds to congestion process time of 2, 4, 8, 16 slots for 15, 30, 60, 120 kHz subcarrier spacing.This field is only applicable if the UE supports sl-Reception-r16 and at least one of sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.Support of this feature is mandatory if UE supports NR sidelink.",Band,CY,N/A,N/A
"csi-ReportSidelink-r16Indicates UE supports Sidelink CSI report. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-csi-RS-PortsSidelink, which indicates the number of antenna port(s) up to which UE can transmit and receive sidelink CSI-RS with. Value p1 corresponds to 1, and value p2 corresponds to 2.-UE supports RI and CQI feedback on sidelink.This field is only applicable if the UE supports at least one of sl-Reception-r16, sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.Support of this feature is mandatory if UE supports NR sidelink.",Band,CY,N/A,N/A
"enb-Sync-Sidelink-r16Indicates whether UE supports eNB type synchronization source for NR sidelink. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can transmit or receive NR sidelink based on the synchronization to an eNB.-If UE supports sync-Sidelink-r16, UE additionally supports eNB, GNSS and SyncRef UE as the synchronization reference according to the synchronization procedure with sl-SyncPriority set to gnbEnb.-If UE supports sync-Sidelink-r16, UE additionally supports eNB, GNSS and SyncRef UE as the synchronization reference according to the synchronization procedure with sl-SyncPriority set to GNSS and sl-NbAsSync set to true.This field is only applicable if the UE supports at least one of sl-Reception-r16, sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.",Band,No,N/A,N/A
"enb-Sync-Sidelink-v1710Indicates whether UE supports eNB type synchronization source for NR sidelink. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can transmit NR sidelink based on the synchronization to an eNB.-If UE supports sync-GNSS-r17, UE additionally supports eNB, GNSS as the synchronization reference according to the synchronization procedure with sl-SyncPriority set to gnbEnb.-If UE supports sync-GNSS-r17, UE additionally supports eNB, GNSS as the synchronization reference according to the synchronization procedure with sl-SyncPriority set to GNSS and sl-NbAsSync set to true.This field is only applicable if the UE supports sync-Sidelink-v1710.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
"fewerSymbolSlotSidelink-r16Indicates whether UE supports transmission/reception of SL slot configured with 7, 8, 9, 10, 11, 12, 13 consecutive symbols and all the corresponding DMRS patterns in a slot.This field is only applicable if the UE supports at least one of sl-Reception-r16, sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.",Band,No,N/A,N/A
"lowSE-64QAM-MCS-TableSidelink-r16Indicates UE can transmit and receive PSSCH according to the low-spectral efficiency 64QAM MCS table.This field is only applicable if the UE supports at least one of sl-Reception-r16, sl-TransmissionMode1-r16 and sl-TransmissionMode2-r16.",Band,No,N/A,N/A
"psfch-FormatZeroSidelink-r16Indicates whether UE supports PSFCH format 0. If supported, this parameter indicates the support of the capabilities and includes the parameters as follows:-UE can transmit and receive NR PSFCH format 0.-psfch-RxNumber which indicates the number of PSFCH(s) resources that the UE can receive in a slot. Value n5 corresponds to 5, n15 corresponds to 15, and so on.-psfch-TxNumber which indicates the number of PSFCH(s) resources that the UE can transmit in a slot. Value n4 corresponds to 4, n8 corresponds to 8, and so on.This field is only applicable if the UE supports at least one of sl-Reception-r16 and sl-TransmissionMode2-r16.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.Support of this feature is mandatory if UE supports NR sidelink.",Band,CY,N/A,N/A
rankTwoReception-r16Indicates whether UE supports rank 2 PSSCH reception.This field is only applicable if the UE supports sl-Reception-r16.,Band,No,N/A,N/A
"rx-IUC-Scheme1-NonPreferredMode2Sidelink-r17Indicates whether UE supports reception of non-preferred resource set for NR sidelink for mode 2. If supported, this parameter indicates the support of the capabilities as follows:-UE can receive inter-UE coordination information of non-preferred resource set and use the received information in its own resource (re-)selection in NR sidelink mode 2.-UE can transmit an explicit request for inter-UE coordination information of non-preferred resource set only.UE supporting this feature shall support receiving NR sidelink of S-SSB or indicate support of sync-Sidelink-r16 or sync-Sidelink-v1710.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
"rx-IUC-Scheme1-PreferredMode2Sidelink-r17Indicates whether UE supports reception of preferred resource set for NR sidelink for mode 2. If supported, this parameter indicates the support of the capabilities as follows:-UE can receive inter-UE coordination information of preferred resource set and use the received information in its own resource (re-)selection in NR sidelink mode 2.-UE can transmit an explicit request for inter-UE coordination information of preferred resource set only.UE supporting this feature shall support receiving NR sidelink of S-SSB or indicate support of sync-Sidelink-r16 or sync-Sidelink-v1710.NOTE:Configuration by NR Uu is not required to be supported in a band indicated with only the PC5 interface in TS 38.101-1 [2] Table 5.2E.1-1.",Band,No,N/A,N/A
