Definitions for parameters,Per,M,FDD-TDD DIFF
am-WithShortSNIndicates whether the UE supports AM DRB with 12 bit length of RLC sequence number.,UE,Yes,No
"extendedT-PollRetransmit-r16Indicates whether the UE supports the additional values of T-PollRetransmit timer. The supported additional values are 1ms, 2ms, 3ms and 4ms, as specified in TS 38.331 [9].",UE,No,No
"extendedT-StatusProhibit-r16Indicates whether the UE supports the additional values of T-StatusProhibit timer. The supported additional values are 1ms, 2ms, 3ms and 4ms, as specified in TS 38.331 [9].",UE,No,No
"remainingTimeBasedPolling-r19Indicates whether the UE supports remaining-time-based RLC polling at the transmitting side of an AM RLC entity, as specified in TS 38.322 [36] and TS 38.323 [16].",UE,No,No
"remainingTimeBasedRetransmission-r19Indicates whether the UE supports remaining-time-based RLC retransmission at the transmitting side of an AM RLC entity, as specified in TS 38.322 [36] and TS 38.323 [16].",UE,No,No
"rxRLC-Discard-r19Indicates whether the UE supports detecting of discard of AMD PDU(s) based on timer t-RxDiscard at the receiving side of an AM RLC entity, as specified in TS 38.322 [36].",UE,No,No
"txRLC-StopReTxDiscardedSDU-r19Indicates whether the UE supports stopping RLC transmission and retransmission of discarded SDUs at the transmitting side of an AM RLC entity, as specified in TS 38.322 [36].",UE,No,No
um-WithLongSNIndicates whether the UE supports UM DRB with 12 bit length of RLC sequence number.,UE,Yes,No
um-WithShortSNIndicates whether the UE supports UM DRB with 6 bit length of RLC sequence number.,UE,Yes,No
