Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
"dl-FR2-2-SCS-120kHz-r17Indicates whether the UE supports reception of 120kHz subcarrier spacing for DL data and control channels, SSB, and reference signals in FR2-2 for non-initial access.It is mandatory for UE supporting at least one FR2-2 frequency band.",Band,CY,N/A,N/A
"dl-FR2-2-SCS-480kHz-r17Indicates whether the UE supports the following:-Reception of 480kHz subcarrier spacing for DL data and control channels, SSB, and reference signals in FR2-2 for non-initial access.-Multiple-slot PDCCH monitoring for 480kHz with (Xs,Ys) = (4,1)-Multi-PDSCH scheduling by single DCI for the operation with 480 kHz SCS and corresponding HARQ enhancements.-Within the Ys = 1 slot (with Xs=4), monitoring of type 1 CSS with dedicated RRC configuration, type 3 CSS, and UE-SS with a maximum of two monitoring spans per slot with a span duration of Y symbols and a minimum gap of X symbols between the start of two spans, where (X,Y) = (4, 3) and (7, 3) are supported.-Processing one unicast DCI scheduling DL and one unicast DCI scheduling UL per slot group of Xs slots per scheduled CC for FDD.-Processing one unicast DCI scheduling DL and 2 unicast DCI scheduling UL per slot group of Xs slots per scheduled CC for TDD.-For type 1 CSS without dedicated RRC configuration and for type 0, 0A, and 2 CSS, the configured monitoring occasion(s) can be any OFDM symbol(s) of any slot(s) of the slot group, and the actual monitoring occasions for any one of Type 1- CSS without dedicated RRC configuration, or Types 0, 0A, or 2 CSS is within a single span of three consecutive OFDM symbols within a single slot of the slot group.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-120kHz-r17.",Band,No,N/A,N/A
"dl-FR2-2-SCS-960kHz-r17Indicates whether the UE supports the following:-Reception of 960kHz subcarrier spacing for DL data and control channels, SSB, and reference signals in FR2-2 for non-initial access.-Multiple-slot PDCCH monitoring for 960kHz with (Xs,Ys) = (8,1).-Multi-PDSCH scheduling by single DCI for the operation with 960 kHz SCS and corresponding HARQ enhancements.-Within the Ys = 1 slot (with Xs=8), monitoring of type 1 CSS with dedicated RRC configuration, type 3 CSS, and UE-SS with a maximum of two monitoring spans per slot with a span duration of Y symbols and a minimum gap of X symbols between the start of two spans, where (X,Y) = (7, 3) is supported.-Processing one unicast DCI scheduling DL and one unicast DCI scheduling UL per slot group of Xs slots per scheduled CC for FDD.-Processing one unicast DCI scheduling DL and 2 unicast DCI scheduling UL per slot group of Xs slots per scheduled CC for TDD.-For type 1 CSS without dedicated RRC configuration and for type 0, 0A, and 2 CSS, the configured monitoring occasion(s) can be any OFDM symbol(s) of any slot(s) of the slot group, and the actual monitoring occasions for any one of Type 1- CSS without dedicated RRC configuration, or Types 0, 0A, or 2 CSS is within a single span of three consecutive OFDM symbols within a single slot of the slot group.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-120kHz-r17.",Band,No,N/A,N/A
"enhancedPDCCH-monitoringSCS-480kHz-r17Indicates whether the UE supports multiple-slot PDCCH monitoring of type 1 CSS with dedicated RRC configuration, type 3 CSS, and UE-SS in the first 3 OFDM symbols of each slot within each of the Ys=2 slots (with Xs=4) for 480kHz with (Xs,Ys)=(4,2).UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-480kHz-r17.",Band,No,N/A,N/A
"enhancedPDCCH-monitoringSCS-960kHz-r17Indicates whether the UE supports multiple-slot PDCCH monitoring for one or more of (Xs, Ys) = {(4,1), (4,2), (8,4)} for 960kHz:-Type 1 CSS with dedicated RRC configuration, type 3 CSS, and UE-SS in the first 3 OFDM symbols of each slot within each of the Ys=2 slots (with Xs=4) or Ys =4 slots (with Xs=8).-Type 1 CSS with dedicated RRC configuration, type 3 CSS, and UE-SS with a span duration of Y symbols and a minimum gap of X symbols between the start of two spans where (X,Y) = (7, 3) within the Ys=1 slot (with Xs=4).UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-960kHz-r17 and shall include at least one of pdcch-monitoring4-1, pdcch-monitoring4-2, or pdcch-monitoring8-4.",Band,No,N/A,N/A
modulation64-QAM-PUSCH-FR2-2-r17Indicates whether the UE supports 64-QAM modulation for FR2-2 PUSCH.,Band,No,N/A,N/A
ul-FR2-2-SCS-120kHz-r17Indicates whether the UE supports PRACH with 120kHz SCS and length 139 and transmission of 120kHz subcarrier spacing for UL data and control channels and reference signals in FR2-2.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
ul-FR2-2-SCS-480kHz-r17Indicates whether the UE supports the following:-PRACH with 480kHz SCS and length 139.-Transmission of 4800kHz subcarrier spacing for UL data and control channels and reference signals in FR2-2.-Multi-PUSCH scheduling by single DCI for the operation with 480 kHz SCS.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-480kHz-r17 and ul-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
ul-FR2-2-SCS-960kHz-r17Indicates whether the UE supports the following:-PRACH with 960kHz SCS and length 139.-Transmission of 960kHz subcarrier spacing for UL data and control channels and reference signals in FR2-2.-Multi-PUSCH scheduling by single DCI for the operation with 960 kHz SCS.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-960kHz-r17 and ul-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
initialAccessSSB-120kHz-r17Indicates whether the UE supports 120kHz SSB for initial access in FR2-2.UE indicating support of this feature shall also indicate support of dl-FR2-2-SCS-120kHz-r17 and ul-FR2-2-SCS-120kHz-r17.,Band,No,N/A,N/A
