Reported Value,Measured Quantity Value,Unit
UL_RTOA_0000000,-985024 > UL_RTOA,Tc
UL_RTOA_0000001,-985024  UL_RTOA < -985023,Tc
UL_RTOA_0000002,-985023  UL_RTOA < -985022,Tc
,,…
UL_RTOA_0985023,-2  UL_RTOA < -1,Tc
UL_RTOA_0985024,-1  UL_RTOA  0,Tc
UL_RTOA_0985025,0 < UL_RTOA  1,Tc
UL_RTOA_0985026,1 < UL_RTOA  2,Tc
UL_RTOA_0985027,2 < UL_RTOA  3,Tc
…,…,…
UL_RTOA_1970048,985023 < UL_RTOA  985024,Tc
UL_RTOA_1970049,985024 < UL_RTOA,Tc
