"Reported Quantity Value,path_i","Measured Quantity Value,path",Unit
,,
path_000000,path < -8175,Tc
path_000001,-8175  path < -8174.9688,Tc
path_000002,-8174.9688  path < -8174.9375,Tc
,,…
path_261600,-0.0312  path < 0,Tc
path_261601,0  path < 0.0312,Tc
…,…,…
path_523199,8174.9375  path < 8174.9688,Tc
path_523200,8174.9688  path < 8175,Tc
path_523201,8175  path,Tc
