Reported value,Measured quantity value (Z-AoA),Unit
Z-AoA_0,0 ≤ Z-AoA < 0.1,degree
Z-AoA _1,0.1 ≤ Z-AoA < 0.2,degree
Z-AoA _2,0.2 ≤ Z-AoA < 0.3,degree
…,…,…
Z-AoA _1798,179.8 ≤ Z-AoA < 179.9,degree
Z-AoA _1799,179.9 ≤ Z-AoA ≤ 180,degree
