Reported value,Measured quantity value (UL-RSCP),Unit
UL_RSCP_0000,0 ≤ UL-RSCP < 0.1,degree
UL_RSCP_0001,0.1 ≤ UL-RSCP < 0.2,degree
UL_RSCP_0002,0.2 ≤ UL-RSCP < 0.3,degree
…,…,…
UL_RSCP_1798,179.8 ≤ UL-RSCP < 179.9,degree
UL_RSCP_1799,179.9 ≤ UL-RSCP < 180,degree
UL_RSCP_1800,180 ≤ UL-RSCP < 180.1,degree
UL_RSCP_1801,180.1 ≤ UL-RSCP < 180.2,degree
UL_RSCP_1802,180.2 ≤ UL-RSCP < 180.3,degree
…,…,…
UL_RSCP_3598,359.8 ≤ UL-RSCP < 359.9,degree
UL_RSCP_3599,359.9 ≤ UL-RSCP < 360,degree
