DRX cycle length in EUTRAN cell[s],"Tevaluate,SLSS[s] (number of DRX cycles)"
≤0.04,0.4 (Note 1)
0.04<DRX-cycle≤2.56,Note 2 (6)
NOTE 1:Number of DRX cycles depends upon the DRX cycle in useNOTE 2:Time depends upon the DRX cycles in use,
