Accuracy,SRS Ês/Iot,SCS,SRS bandwidth range
Unit: Tc,Unit: dB,Unit: kHz,Unit: PRB
9,≥ -13,60,132 ≤ BW ≤ 168
8,,,176 ≤ BW
9,≥ +3,,132 ≤ BW ≤ 168
8,,,176 ≤ BW
22,≥ -13,120,32 ≤ BW ≤ 40
15,,,44 ≤ BW ≤ 84
8,,,88 ≤ BW
16,≥ +3,,32 ≤ BW ≤ 40
9,,,44 ≤ BW ≤ 84
8,,,88 ≤ BW
