Reported Quantity Value,Measured Quantity Value,Unit
UL_RTOA_0000000,-985024 > UL_RTOA,Tc
UL_RTOA_0000001,-985024  UL_RTOA < -985023.75,Tc
UL_RTOA_0000002,-985023.75  UL_RTOA < -985023.5,Tc
,,…
UL_RTOA_3940096,-0.25  UL_RTOA < 0,Tc
UL_RTOA_3940097,0  UL_RTOA < 0.25,Tc
…,…,…
UL_RTOA_7880191,985023.5  UL_RTOA < 985023.75,Tc
UL_RTOA_7880192,985023.75  UL_RTOA < 985024,Tc
UL_RTOA_7880193,985024  UL_RTOA,Tc
