Reported value,Measured quantity value,Unit
SRS_RSRPP_0,SRS-RSRPP<-156,dBm
SRS_RSRPP_1,-156SRS-RSRPP<-155,dBm
SRS_RSRPP_2,-155SRS-RSRPP<-154,dBm
SRS_RSRPP_3,-154SRS-RSRPP<-153,dBm
SRS_RSRPP_4,-153SRS-RSRPP<-152,dBm
SRS_RSRPP_5,-152SRS-RSRPP<-151,dBm
SRS_RSRPP_6,-151SRS-RSRPP<-150,dBm
SRS_RSRPP_7,-150SRS-RSRPP<-149,dBm
SRS_RSRPP_8,-149SRS-RSRPP<-148,dBm
SRS_RSRPP_9,-148SRS-RSRPP<-147,dBm
SRS_RSRPP_10,-147SRS-RSRPP<-146,dBm
SRS_RSRPP_11,-146SRS-RSRPP<-145,dBm
SRS_RSRPP_12,-145SRS-RSRPP<-144,dBm
SRS_RSRPP_13,-144SRS-RSRPP<-143,dBm
SRS_RSRPP_14,-143SRS-RSRPP<-142,dBm
SRS_RSRPP_15,-142SRS-RSRPP<-141,dBm
SRS_RSRPP_16,-141SRS-RSRPP<-140,dBm
SRS_RSRPP_17,-140SRS-RSRPP<-139,dBm
SRS_RSRPP_18,-139SRS-RSRPP<-138,dBm
…,…,…
SRS_RSRPP_111,-46SRS-RSRPP<-45,dBm
SRS_RSRPP_112,-45SRS-RSRPP<-44,dBm
SRS_RSRPP_113,-44SRS-RSRPP<-43,dBm
SRS_RSRPP_114,-43SRS-RSRPP<-42,dBm
SRS_RSRPP_115,-42SRS-RSRPP<-41,dBm
SRS_RSRPP_116,-41SRS-RSRPP<-40,dBm
SRS_RSRPP_117,-40SRS-RSRPP<-39,dBm
SRS_RSRPP_118,-39SRS-RSRPP<-38,dBm
SRS_RSRPP_119,-38SRS-RSRPP<-37,dBm
SRS_RSRPP_120,-37SRS-RSRPP<-36,dBm
SRS_RSRPP_121,-36SRS-RSRPP<-35,dBm
SRS_RSRPP_122,-35SRS-RSRPP<-34,dBm
SRS_RSRPP_123,-34SRS-RSRPP<-33,dBm
SRS_RSRPP_124,-33SRS-RSRPP<-32,dBm
SRS_RSRPP_125,-32SRS-RSRPP<-31,dBm
SRS_RSRPP_126,-31SRS-RSRPP,dBm
