SL-DRX cycleNote 1 [ms],"Tevaluate,SLSS_CCA [ms]"
No SL-DRX,(4 + LSLSS) x S-SSB periods
SL-DRX cycle ≤ 160,(4 + LSLSS) x S-SSB periods
SL-DRX cycle > 160,(4 + LSLSS) x SL-DRX cycle
"NOTE 1:If multiple SL-DRX cycles are configured for SL UE, the SL-DRX cycle in the requirement is the shortest of all the configured SL-DRX cycles. When the shortest SL-DRX cycle UE used changes, the requirements do not apply to the time of transition.NOTE 2:LSLSS is the number of unavailable S-SSB period during Tevaluate,SLSS_CCA due to the CCA failures; where LSLSS ≤ LSLSS, max and LSLSS, max = 4.",
