Parameter,Unit,Cell 1,Cell 2,
Angle of arrival configuration,,Setup 1 according to clause A.3.15.1,,
Assumption for UE beamsNote 5,,Rough,,
Note 1,dBm/15kHzNote 3,-98,,
Note 1,dBm/SCSNote 3,-89,,
,dB,-2,,-10
PRS_RPNote 2,dBm/SCS,-91,,-99
BB Note 4,dB,-2.41,,-12.12
IoNote2,dBm/380.16MHzNote3,-51.61,,
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:PRS_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.NOTE 5:Information about types of UE beam is given in annex B.2.1.3 and does not limit UE implementation or test system implementation.",,,,
