Parameter,Unit,Test configuration,Value,Comment
,,,Test 1,
E-UTRA RF Channel Number,,"1, 2, 3, 4, 5, 6, 7, 8",1,One E-UTRA carrier frequency is used.
NR RF Channel Number,,"1, 2, 3, 4, 5, 6, 7, 8",1,One FR1 NR carrier frequency is used.
Active cell,,"1, 2, 3, 4, 5, 6, 7, 8",E-UTRA Cell 1 (PCell),E-UTRA Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,"1, 2, 3, 4, 5, 6, 7, 8",NR Cell 2,NR Cell 2 is on NR RF channel number 1.
Gap Pattern Id,,"1, 2, 3, 4, 5, 6, 7, 8",0,As specified in clause Table 8.1.2.1-1 of TS 36.133 [15].
Measurement gap offset,,"1, 2, 3, 4, 5, 6, 7, 8",39,As specified in TS 36.331 [16].
b2-Threshold1,dBm,"1, 2, 3, 4, 5, 6, 7, 8",Note 1,E-UTRA RSRP threshold for E-UTRA RSRP measurement on Cell 1 for event B2 [16]
b2-Threshold2NR,dBm,"1, 2, 3, 4, 5, 6, 7, 8",Note 2,SS-RSRP threshold for SS-RSRP measurement on Cell 2 for event B2 [16]
Hysteresis,dB,"1, 2, 3, 4, 5, 6, 7, 8",0,
CP length,,"1, 2, 3, 4, 5, 6, 7, 8",Normal,
TimeToTrigger,s,"1, 2, 3, 4, 5, 6, 7, 8",0,
Filter coefficient,,"1, 2, 3, 4, 5, 6, 7, 8",0,L3 filtering is not used
DRX,,"1, 2, 3, 4, 5, 6, 7, 8",OFF,DRX is not used
Time offset between serving and neighbour cells,,"1, 4, 7, 8",3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,"2, 3, 5, 6",3s,Synchronous cells.
T1,s,"1, 2, 3, 4, 5, 6, 7, 8",5,
T2,s,"1, 2, 3, 4, 5, 6, 7, 8",2,
NOTE 1:The value of b2-Threshold1 is defined in table A.18.3.1.3.1-3NOTE 2:The value of b2-Threshold2NR is defined in table A.18.3.1.3.1-4,,,,
