,"Test requirement Notes1,2,3"
SSB0,SSB_RP0 -δ + Gmin ≤ Reported RSRP(dBm) ≤ SSB_RP0 +δ + Gmax
SSB1,SSB_RP1 -δ + Gmin ≤ Reported RSRP(dBm) ≤ SSB_RP1 +δ + Gmax
"NOTE 1: SSB_RPn is the  equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone configured in the test for the SSB n under considerationNOTE 2: δ is the RSRP absolute accuracy requirement from Table [10.xx.xx.1.1-1], selected according to the Io used in the testNOTE 3: Gmin and Gmax are the minimum and maximum UE gain values from Table B.2.1.5.1-1, selected according to the UE power class",
