SL-CAPC,PQI
1,"21, 22, 23, 24, 26, 33, 55, 56, 57, 58, 60, 71, 90, 91, 92, 93"
2,"25, 70"
3,"32, 34, 59, 61"
4,-
NOTE:lower SL-CAPC value means higher priority-,
