,,CP,Supported for data,Supported for synch
0,15,Normal,Yes,Yes
1,30,Normal,Yes,Yes
2,60,"Normal, Extended",Yes,No
3,120,Normal,Yes,Yes
4,240,Normal,No,Yes
5,480,Normal,Yes,Yes
6,960,Normal,Yes,Yes
