OFDM signal indication endSymbol,Symbol indexes
0,"{0,1}"
1,"For 480 kHz and 960 kHz {0,1,2,..,11,12}; otherwise {0,1,2,..,10,11}"
2,"{0,1,2,…, 5}"
3,"{0,1,2,…, 7}"
