Parameter,Unit,Value,
,,Test 1,Test 2
E-UTRA RF Channel Number,,1,1
BWchannel,MHz,10,10
NOCNG pattern,,BWchannel 10MHz: NOP.1 TDD,BWchannel 10MHz: NOP.1 TDD
PBCH_RA,dB,-3,-3
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
OCNG_RANote1,,,
OCNG_RBNote1,,,
,dBm/15 kHz,-98,-98
,dB,-11,-11
Antenna Configuration,,2x1,2x1
Propagation condition,-,AWGN,AWGN
Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
