Parameter,Unit,Value,Comment
,,Test 1,
NB-IoT Operation mode,,In-band,
DRX,,OFF,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211 [16]
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.21 [16]1
NPRACH configuration,,NPRACH.R-2,As specified in A.3.18
NPDCCH repetition level,,1,
npdcch-StartSF-USS Note 1,,v8,
npdcch-NumRepetitions-r13 Note 1,,r1,
NPUSCH repetition level,,1,
Note 1:For further information see clause 6.7.3.2 in TS 36.331 [2].,,,
