Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",Two radio channels are used for this test.
Active PCell,,Cell1,PCell on RF channel number 1.
Configured PSCell,,Cell2,PSCell on RF channel number 2.
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. Applicable to cell 1
Uplink-downlink configuration,,1,As specified in table 4.2-1 in TS 36.211. Applicable to Cell1
CP length,,Normal,As specified in table 4.2-2 in TS 36.211. Applicable to Cell1
DRX,,ON,DRX related parameters are defined in Table A.8.23.4.1-3
Measurement gap pattern Id,,OFF,
T1,s,10,
Note 1:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.Note 2: A UE capable of both synchronous and asynchronous DC operations is only required to pass this test case in accordance with the principle defined in section A.3.11.,,,
