Field,Test1,Test2,Comment
,Value,Value,
TimeAlignmentTimer,infinity,infinity,As specified in clause 6.3.2 in TS 36.331
sr-ConfigIndex,2,2,For further information see clause 6.3.2 in TS 36.331 and section10.1 in TS 36.213.
